emotion,dealerships,heddaya,casino,emaad
approval,1,1,1,1
curiosity,2,3,2,2
admiration,3,2,3,4
gratitude,6,11,6,3
confusion,4,4,7,5
optimism,7,6,4,7
disapproval,5,5,11,9
desire,8,8,5,12
excitement,10,12,9,10
caring,11,17,10,6
joy,16,14,8,8
realization,12,7,15,11
love,15,9,12,13
annoyance,9,15,17,14
remorse,13,10,18,24
disappointment,14,13,16,16
sadness,18,16,14,18
amusement,19,20,13,19
surprise,17,18,20,15
fear,24,19,19,21
anger,20,21,23,20
relief,22,24,22,17
nervousness,25,22,21,23
disgust,21,23,24,25
pride,26,26,25,22
embarrassment,23,25,26,26
grief,27,27,27,27
