dataset,emotion,buyer_mean,seller_mean,delta_buyer_minus_seller,abs_delta,p_value,significant_p05
dealerships,admiration,0.09169,0.06521,0.02648,0.02648,0.0012,yes
dealerships,amusement,0.00884,0.00398,0.00486,0.00486,0.0181,yes
dealerships,anger,0.00424,0.0035,0.00073,0.00073,0.3266,no
dealerships,annoyance,0.02328,0.01772,0.00557,0.00557,0.0089,yes
dealerships,approval,0.17287,0.17951,-0.00664,0.00664,0.4268,no
dealerships,caring,0.01285,0.02185,-0.009,0.009,0.0004,yes
dealerships,confusion,0.06024,0.05559,0.00465,0.00465,0.3294,no
dealerships,curiosity,0.16202,0.1696,-0.00758,0.00758,0.4263,no
dealerships,desire,0.02738,0.01799,0.00939,0.00939,0.0025,yes
dealerships,disappointment,0.01444,0.01144,0.003,0.003,0.1684,no
dealerships,disapproval,0.04864,0.0494,-0.00076,0.00076,0.8872,no
dealerships,disgust,0.00241,0.00162,0.00079,0.00079,0.2094,no
dealerships,embarrassment,0.00195,0.0013,0.00064,0.00064,0.3482,no
dealerships,excitement,0.01852,0.01838,0.00013,0.00013,0.9606,no
dealerships,fear,0.0018,0.00131,0.0005,0.0005,0.4165,no
dealerships,gratitude,0.03003,0.05275,-0.02272,0.02272,0.0014,yes
dealerships,grief,0.0006,0.00062,-2e-05,2e-05,0.6084,no
dealerships,joy,0.01168,0.01065,0.00103,0.00103,0.6082,no
dealerships,love,0.01424,0.01152,0.00272,0.00272,0.3813,no
dealerships,nervousness,0.00118,0.00132,-0.00013,0.00013,0.71,no
dealerships,optimism,0.04337,0.03652,0.00685,0.00685,0.1296,no
dealerships,pride,0.00121,0.00103,0.00018,0.00018,0.0351,yes
dealerships,realization,0.01684,0.01581,0.00103,0.00103,0.3979,no
dealerships,relief,0.00188,0.00201,-0.00014,0.00014,0.3896,no
dealerships,remorse,0.01207,0.02001,-0.00795,0.00795,0.0447,yes
dealerships,sadness,0.00641,0.00812,-0.00171,0.00171,0.235,no
dealerships,surprise,0.00828,0.009,-0.00072,0.00072,0.6976,no
heddaya,admiration,0.05779,0.07508,-0.01729,0.01729,0.0003,yes
heddaya,amusement,0.00233,0.0037,-0.00137,0.00137,0.0559,no
heddaya,anger,0.00208,0.00238,-0.0003,0.0003,0.1719,no
heddaya,annoyance,0.00966,0.01023,-0.00057,0.00057,0.2427,no
heddaya,approval,0.13461,0.15449,-0.01988,0.01988,0.0,yes
heddaya,caring,0.00837,0.00686,0.00151,0.00151,0.1252,no
heddaya,confusion,0.0392,0.03767,0.00153,0.00153,0.6038,no
heddaya,curiosity,0.05278,0.04478,0.008,0.008,0.0188,yes
heddaya,desire,0.02217,0.01611,0.00605,0.00605,0.0014,yes
heddaya,disappointment,0.01055,0.01218,-0.00163,0.00163,0.16,no
heddaya,disapproval,0.03408,0.04026,-0.00618,0.00618,0.0417,yes
heddaya,disgust,0.00171,0.0023,-0.00059,0.00059,0.0909,no
heddaya,embarrassment,0.00106,0.0012,-0.00014,0.00014,0.2195,no
heddaya,excitement,0.01435,0.01079,0.00356,0.00356,0.0066,yes
heddaya,fear,0.00391,0.00375,0.00016,0.00016,0.8802,no
heddaya,gratitude,0.01636,0.0116,0.00476,0.00476,0.0484,yes
heddaya,grief,0.00053,0.00058,-6e-05,6e-05,0.0299,yes
heddaya,joy,0.00888,0.01302,-0.00413,0.00413,0.0058,yes
heddaya,love,0.02077,0.01468,0.00609,0.00609,0.0105,yes
heddaya,nervousness,0.0028,0.00127,0.00153,0.00153,0.0008,yes
heddaya,optimism,0.02611,0.02564,0.00047,0.00047,0.8219,no
heddaya,pride,0.00086,0.00104,-0.00018,0.00018,0.0,yes
heddaya,realization,0.0202,0.01982,0.00038,0.00038,0.7219,no
heddaya,relief,0.0015,0.00161,-0.00011,0.00011,0.277,no
heddaya,remorse,0.01274,0.01728,-0.00454,0.00454,0.0718,no
heddaya,sadness,0.00643,0.00964,-0.00321,0.00321,0.0025,yes
heddaya,surprise,0.00721,0.00519,0.00203,0.00203,0.0687,no
casino,admiration,0.07583,0.07445,0.00138,0.00138,0.6828,no
casino,amusement,0.01522,0.01509,0.00012,0.00012,0.932,no
casino,anger,0.00266,0.00292,-0.00025,0.00025,0.31,no
casino,annoyance,0.01064,0.01171,-0.00107,0.00107,0.0215,yes
casino,approval,0.14033,0.14395,-0.00362,0.00362,0.3031,no
casino,caring,0.02356,0.0251,-0.00154,0.00154,0.2428,no
casino,confusion,0.035,0.03442,0.00059,0.00059,0.6676,no
casino,curiosity,0.14454,0.13833,0.00622,0.00622,0.1048,no
casino,desire,0.04792,0.04767,0.00025,0.00025,0.9026,no
casino,disappointment,0.01117,0.01258,-0.00141,0.00141,0.0619,no
casino,disapproval,0.02189,0.02465,-0.00277,0.00277,0.0774,no
casino,disgust,0.00188,0.00197,-9e-05,9e-05,0.5852,no
casino,embarrassment,0.00112,0.00112,-0.0,0.0,0.9791,no
casino,excitement,0.02793,0.02788,5e-05,5e-05,0.9769,no
casino,fear,0.00635,0.00657,-0.00022,0.00022,0.7956,no
casino,gratitude,0.0375,0.03363,0.00387,0.00387,0.1673,no
casino,grief,0.00081,0.00083,-2e-05,2e-05,0.4489,no
casino,joy,0.02903,0.03082,-0.00179,0.00179,0.3355,no
casino,love,0.01817,0.019,-0.00083,0.00083,0.6047,no
