conv_id,turn_id,role,word,speaker_id,duration_min
628,0,buyer,Hi,0,11.972
628,1,seller,Hi Hi,1,11.972
628,2,buyer,Fine Hi I'm E W 6 to 8 Um I'm interested in um yeah looking at your single house Um It looks fabulous Why are you selling,0,11.972
628,3,seller,Yeah so I'm moving from the area Um And it's a great area to live in So um yeah just was looking to move for for work,1,11.972
628,4,buyer,for work How long have you lived in this uh in this house,0,11.972
628,5,seller,a couple of years Um Yeah and I love the area it's a really great area to to live in um great restaurants you can get anywhere around the city Transportation is really near there's two Parks nearby So I really enjoyed living here,1,11.972
628,6,buyer,Yeah,0,11.972
628,7,seller,Yeah,1,11.972
628,8,buyer,so you've only lived in this house for a couple of years And who did you buy it from Who are their previous owners,0,11.972
628,9,seller,Um It was it was a family I previously lived here Um But yeah I don't know if you're looking for a name I'm not I don't know,1,11.972
628,10,buyer,No I just I was kind of curious because you know it looks like a great house and you've only been there for like two years I guess this job that you're moving to is um,0,11.972
628,11,seller,yeah I'm moving out of the city for for a job so you know,1,11.972
628,12,buyer,Mhm Um,0,11.972
628,13,seller,uh if I could stay here I would have loved to stay here but you know for works,1,11.972
628,14,buyer,mm,0,11.972
628,15,seller,Mhm,1,11.972
628,16,buyer,Well I understand Um You know I have a certain budget and I you know I was kind of curious have you um done any thing in the house since you live here,0,11.972
628,17,seller,Yeah it's all newly been um decorated I've redone the landscaping Um everything's been fenced and like the outside has been taking the time to you know take care of Our landscaping are like trees and stuff really well Um Inside we have like all hardwood floors um,1,11.972
628,18,buyer,Mhm,0,11.972
628,19,seller,uh,1,11.972
628,20,buyer,Well yeah I,0,11.972
628,21,seller,looking,1,11.972
628,22,buyer,always locked,0,11.972
628,23,seller,at the photos you can sort of tell that it's it's an older home but uh it's been really well maintained and it really has like a new house feel to it,1,11.972
628,24,buyer,Mhm,0,11.972
628,25,seller,mm,1,11.972
628,26,buyer,Um Well I I was looking at um um could you confirm the asking price What did,0,11.972
628,27,seller,Yeah,1,11.972
628,28,buyer,you really Yeah What was that,0,11.972
