emotion,adf_stat,adf_p,stationary,rw_rmse,ar1_r2_in,ar1_rmse_oos,ar3_r2_in,ar3_aic,ar1_beats_rw_pct,structured
surprise,-50.1565,0.0,True,0.061316,0.0001,0.037643,0.0042,-6263.49,38.61,True
curiosity,-15.9974,0.0,True,0.36411,0.0033,0.23679,0.0357,-237.35,34.97,True
remorse,-33.1433,0.0,True,0.151459,0.0003,0.105925,0.007,-3341.54,30.06,True
confusion,-31.9318,0.0,True,0.181926,0.0048,0.127322,0.0148,-2682.39,30.01,True
disapproval,-32.993,0.0,True,0.20134,0.0008,0.141422,0.003,-2158.25,29.76,True
sadness,-49.051,0.0,True,0.053157,0.0004,0.037478,0.0009,-7068.3,29.5,True
disappointment,-12.764,0.0,True,0.106566,0.0005,0.075259,0.0005,-5925.76,29.38,True
amusement,-24.8403,0.0,True,0.057604,0.0,0.040858,0.1446,-5830.4,29.07,True
embarrassment,-49.6164,0.0,True,0.005664,0.0,0.004032,0.0,-9402.86,28.81,True
desire,-13.6262,0.0,True,0.077919,0.0004,0.055589,0.0013,-4055.2,28.66,True
realization,-49.062,0.0,True,0.029269,0.0001,0.021041,0.0001,-7411.07,28.11,True
pride,-25.3121,0.0,True,0.003335,0.0082,0.002425,0.022,-17820.77,27.29,True
admiration,-13.7256,0.0,True,0.28584,0.0082,0.20818,0.0107,-640.74,27.17,True
excitement,-23.5895,0.0,True,0.103105,0.0021,0.075678,0.0022,-4897.02,26.6,True
nervousness,-49.0797,0.0,True,0.002196,0.0002,0.001625,0.0002,-11798.3,26.0,True
grief,-8.1499,0.0,True,0.001676,0.0004,0.00125,0.0039,-19866.25,25.42,True
approval,-32.3588,0.0,True,0.285413,0.0001,0.213166,0.0048,-541.9,25.31,True
annoyance,-15.3994,0.0,True,0.04627,0.0069,0.034674,0.0125,-5338.72,25.06,True
optimism,-45.1472,0.0,True,0.117943,0.009,0.088383,0.0091,-3023.27,25.06,True
anger,-33.2505,0.0,True,0.007374,0.0008,0.005682,0.0026,-9092.18,22.95,True
fear,-49.6746,0.0,True,0.001753,0.0,0.001359,0.0,-9823.73,22.48,True
caring,-22.198,0.0,True,0.104212,0.0002,0.081737,0.0005,-5561.2,21.57,True
love,-16.022,0.0,True,0.070241,0.0059,0.055575,0.0075,-4142.87,20.88,True
relief,-26.3637,0.0,True,0.003961,0.0007,0.003331,0.0045,-15237.52,15.91,True
gratitude,-27.0144,0.0,True,0.186389,0.0207,0.158423,0.0236,-1306.75,15.0,True
joy,-47.0898,0.0,True,0.02108,0.0009,0.018695,0.0014,-5665.34,11.31,True
disgust,-45.3718,0.0,True,0.017814,0.0,0.016629,0.0001,-16737.66,6.65,True
