emotion,time_bin,relative_time_mean,mean,ci_low,ci_high,n_turns,n_conversations
approval,0,0.0462097882742801,0.10769319921402212,0.08966703451217713,0.12637072081642067,271,48
approval,1,0.15290496267200998,0.16589004609623434,0.14165881165052302,0.19219337690376573,239,48
approval,2,0.2518578972201775,0.1943855855802469,0.1691586236860082,0.22107313640030868,243,48
approval,3,0.35187663120173335,0.1699581644612245,0.14381632142367348,0.19550464193642855,245,48
approval,4,0.4535486683926477,0.15681038473412698,0.13402813421815477,0.17939668145317458,252,48
approval,5,0.5542856823114648,0.1720563930210084,0.14827013910399162,0.1972154682970588,238,48
approval,6,0.6520236483578227,0.16950446439915967,0.14594599411018908,0.1937525842172269,238,48
approval,7,0.7522029356445658,0.21485526342168676,0.1869135552949799,0.24359382605441768,249,48
approval,8,0.8516132684778774,0.20519397195798317,0.1741638499452731,0.23489694661092436,238,48
approval,9,0.9549303574030135,0.2102446323707865,0.18208839834868915,0.23835764794915731,267,48
curiosity,0,0.0462097882742801,0.27537367634686344,0.24345808510332098,0.3084558576194649,271,48
curiosity,1,0.15290496267200998,0.19931024031799163,0.1646184053199791,0.2339574687858787,239,48
curiosity,2,0.2518578972201775,0.18098179248559673,0.15094757850781892,0.2099455915553498,243,48
curiosity,3,0.35187663120173335,0.18193968835918367,0.15299836987510204,0.2113702538343878,245,48
curiosity,4,0.4535486683926477,0.16193699698412697,0.13572761530257935,0.19348189128482143,252,48
curiosity,5,0.5542856823114648,0.15279031080672265,0.1252641865789916,0.1806338827148109,238,48
curiosity,6,0.6520236483578227,0.13987620381512605,0.11413453558718488,0.16550000889947475,238,48
curiosity,7,0.7522029356445658,0.12927326267871486,0.10473336419257027,0.15601898160240962,249,48
curiosity,8,0.8516132684778774,0.1499087996806723,0.12065674893109242,0.18048786272615547,238,48
curiosity,9,0.9549303574030135,0.08281174172284644,0.062212315167228464,0.10507793489831461,267,48
admiration,0,0.0462097882742801,0.08296780914391144,0.05940792154308117,0.10923044945332103,271,48
admiration,1,0.15290496267200998,0.05456495566945607,0.03523884828995817,0.0744911335585774,239,48
admiration,2,0.2518578972201775,0.08698127902057613,0.06260368906944444,0.11540719033755144,243,48
admiration,3,0.35187663120173335,0.05506357918367347,0.036054122008469386,0.07720526608234694,245,48
admiration,4,0.4535486683926477,0.05322716837301587,0.03270370169255952,0.07642042489801584,252,48
admiration,5,0.5542856823114648,0.06279086691176469,0.04290549018130251,0.08696175446869747,238,48
admiration,6,0.6520236483578227,0.0799944071722689,0.054783990375945384,0.10985550803266805,238,48
admiration,7,0.7522029356445658,0.054341000116465865,0.035859601628714856,0.07667070561797187,249,48
admiration,8,0.8516132684778774,0.10407911771008402,0.07446936783130254,0.13422750385430673,238,48
admiration,9,0.9549303574030135,0.14423406455805243,0.11215477649363295,0.17571357184138575,267,48
confusion,0,0.0462097882742801,0.07172259088929889,0.05747234130267528,0.08837029157269372,271,48
confusion,1,0.15290496267200998,0.058812066041841006,0.04539774589236402,0.07578655839874475,239,48
confusion,2,0.2518578972201775,0.055937489872427984,0.04253699650349794,0.07073413897427983,243,48
confusion,3,0.35187663120173335,0.07900952066938777,0.062187480944081636,0.09785263712714284,245,48
confusion,4,0.4535486683926477,0.05980653473412698,0.047947759631249996,0.07387889318988095,252,48
confusion,5,0.5542856823114648,0.05089448248739496,0.04104250166123949,0.06187373689348739,238,48
confusion,6,0.6520236483578227,0.06832607865966386,0.04933373002027311,0.09008674867331933,238,48
confusion,7,0.7522029356445658,0.059369815056224906,0.04346834713483936,0.07753041119196787,249,48
confusion,8,0.8516132684778774,0.05306331499579832,0.03949345902552521,0.06831142958413863,238,48
confusion,9,0.9549303574030135,0.023601674187265918,0.01713821272050562,0.03101149993848314,267,48
disapproval,0,0.0462097882742801,0.02077005902214022,0.011904221098892989,0.031596485646771214,271,48
disapproval,1,0.15290496267200998,0.04581168999163181,0.028631056592050206,0.06420512539372385,239,48
disapproval,2,0.2518578972201775,0.05027477266666667,0.03514342093600824,0.06896077494567901,243,48
disapproval,3,0.35187663120173335,0.053937987897959186,0.036963949386020406,0.07493647281163264,245,48
disapproval,4,0.4535486683926477,0.06740459163095237,0.049014484703075394,0.0884028762171627,252,48
disapproval,5,0.5542856823114648,0.05988385581932773,0.04121065218592437,0.08019226558865547,238,48
disapproval,6,0.6520236483578227,0.06658583531512605,0.04821074386848739,0.08687162170483194,238,48
disapproval,7,0.7522029356445658,0.042016568879518074,0.03126604484066265,0.055705285984839356,249,48
disapproval,8,0.8516132684778774,0.05397630751260504,0.03845002620052521,0.07194844870021007,238,48
disapproval,9,0.9549303574030135,0.03434388838576779,0.022130906986516853,0.04794121417378277,267,48
gratitude,0,0.0462097882742801,0.06789415048708486,0.04248317529261993,0.09773165600212178,271,48
gratitude,1,0.15290496267200998,0.017625269405857746,0.005906538305334728,0.03332564073629707,239,48
gratitude,2,0.2518578972201775,0.027996101069958847,0.012393186205967077,0.04769639759742798,243,48
gratitude,3,0.35187663120173335,0.008151828755102042,0.0023141753292857136,0.0183966838377551,245,48
gratitude,4,0.4535486683926477,0.017226298980158733,0.006027184693551587,0.030862805411706343,252,48
