emotion,time_bin,relative_time_mean,gap_role_a_minus_role_b,ci_low,ci_high,role_a,role_b,n_turns,n_conversations
approval,0,0.0462097882742801,-0.04091230004798556,-0.07785915050251256,-0.004853738728746342,buyer,seller,271,48
approval,1,0.15290496267200998,-0.0031217891049019897,-0.056641515792347684,0.05052032381692927,buyer,seller,239,48
approval,2,0.2518578972201775,0.03437534924939026,-0.01784811143882117,0.08585861552296242,buyer,seller,243,48
approval,3,0.35187663120173335,0.008286790370078734,-0.04150995923540467,0.06335709566461367,buyer,seller,245,48
approval,4,0.4535486683926477,0.029447629054551228,-0.017078056542366885,0.07514630449646459,buyer,seller,252,48
approval,5,0.5542856823114648,0.01123011196341811,-0.03811009786169846,0.061772584217478825,buyer,seller,238,48
approval,6,0.6520236483578227,-0.012667414139971772,-0.06107066088646891,0.03798416393783197,buyer,seller,238,48
approval,7,0.7522029356445658,-0.040283072130774145,-0.09481148099165808,0.016538765375482264,buyer,seller,249,48
approval,8,0.8516132684778774,-0.023002075068588035,-0.07975489556436915,0.033811325765245086,buyer,seller,238,48
approval,9,0.9549303574030135,-0.03135500487828283,-0.08545293514023153,0.02207809940644362,buyer,seller,267,48
curiosity,0,0.0462097882742801,0.031138610228518437,-0.03216284942004044,0.09546215263205181,buyer,seller,271,48
curiosity,1,0.15290496267200998,-0.08499605153410361,-0.15261049470070023,-0.021590118810159334,buyer,seller,239,48
curiosity,2,0.2518578972201775,-0.05011148444369917,-0.10567556576459856,0.008978155802804885,buyer,seller,243,48
curiosity,3,0.35187663120173335,-0.06681586136921125,-0.1264996581983402,-0.004417438600769091,buyer,seller,245,48
curiosity,4,0.4535486683926477,0.018765054960629912,-0.03956907396942359,0.0778648001716646,buyer,seller,252,48
curiosity,5,0.5542856823114648,0.0042444409072034395,-0.05149690367308261,0.05983378259703392,buyer,seller,238,48
curiosity,6,0.6520236483578227,0.036749641267937866,-0.01309528216533542,0.09016592624482696,buyer,seller,238,48
curiosity,7,0.7522029356445658,0.025095893984258058,-0.029267311527325778,0.07607668861220805,buyer,seller,249,48
curiosity,8,0.8516132684778774,0.01187498546132651,-0.05216796218529174,0.07062234463581264,buyer,seller,238,48
curiosity,9,0.9549303574030135,0.005690347052861949,-0.036309696096835035,0.04779475102143939,buyer,seller,267,48
admiration,0,0.0462097882742801,0.02786153605901298,-0.02246036555351156,0.07731333498131207,buyer,seller,271,48
admiration,1,0.15290496267200998,0.03985381022177871,-1.290056127275503e-05,0.08236116817512255,buyer,seller,239,48
admiration,2,0.2518578972201775,0.06755233181930892,0.014701342218495936,0.12389553926098575,buyer,seller,243,48
admiration,3,0.35187663120173335,-0.015887447376885085,-0.05820458586951988,0.02547675372718706,buyer,seller,245,48
admiration,4,0.4535486683926477,0.04345562145348032,0.003406847034020469,0.08926268451107082,buyer,seller,252,48
admiration,5,0.5542856823114648,0.031797991354519786,-0.013522443202288148,0.07526602093441384,buyer,seller,238,48
admiration,6,0.6520236483578227,0.00823341291596047,-0.044042399141013426,0.061230307758626396,buyer,seller,238,48
admiration,7,0.7522029356445658,0.0016294282494838733,-0.03865080232118064,0.04461108527967579,buyer,seller,249,48
admiration,8,0.8516132684778774,0.020954976174683893,-0.037177890267704995,0.08070766036319665,buyer,seller,238,48
admiration,9,0.9549303574030135,0.036841046635521874,-0.023529190492735687,0.10065937343814815,buyer,seller,267,48
confusion,0,0.0462097882742801,-0.009340046936510527,-0.040189985502374716,0.02150294440662734,buyer,seller,271,48
confusion,1,0.15290496267200998,-0.012072057819187694,-0.042097604461636906,0.016226823816985293,buyer,seller,239,48
confusion,2,0.2518578972201775,-0.011809409673983737,-0.04200032929641768,0.014938997380477645,buyer,seller,243,48
confusion,3,0.35187663120173335,0.020195485840651284,-0.015037476389571931,0.056259916035751714,buyer,seller,245,48
confusion,4,0.4535486683926477,0.028723585956346442,0.00378280024939842,0.05578141321056536,buyer,seller,252,48
confusion,5,0.5542856823114648,-0.008817610475141242,-0.030960264750165962,0.010409029896649004,buyer,seller,238,48
confusion,6,0.6520236483578227,0.004574231131073428,-0.036561922563767654,0.04372623488927614,buyer,seller,238,48
confusion,7,0.7522029356445658,0.00779566481929031,-0.024682107315396756,0.0419746855726516,buyer,seller,249,48
confusion,8,0.8516132684778774,0.009534394393515576,-0.02081322988182523,0.03811475842949779,buyer,seller,238,48
confusion,9,0.9549303574030135,0.019942791969360274,0.006119481206725586,0.03555420681111531,buyer,seller,267,48
disapproval,0,0.0462097882742801,0.009613692129435528,-0.009984190464468011,0.029926433033094498,buyer,seller,271,48
disapproval,1,0.15290496267200998,-0.02394424115938376,-0.06334063838310224,0.009160191887424708,buyer,seller,239,48
disapproval,2,0.2518578972201775,-0.028118058343902443,-0.06429501652314024,0.005207210474075202,buyer,seller,243,48
disapproval,3,0.35187663120173335,0.032222012898705465,-0.0016722844932503772,0.06844929368028994,buyer,seller,245,48
disapproval,4,0.4535486683926477,0.007958241860220483,-0.03366891934071185,0.04637541735904094,buyer,seller,252,48
disapproval,5,0.5542856823114648,-0.019258131997316394,-0.05644576689162427,0.01792219513800846,buyer,seller,238,48
disapproval,6,0.6520236483578227,-0.003262751409322015,-0.04226830575351697,0.03472224713118291,buyer,seller,238,48
disapproval,7,0.7522029356445658,-0.00729212906787096,-0.03143640197093872,0.01569676771237257,buyer,seller,249,48
disapproval,8,0.8516132684778774,0.0037170578922088027,-0.027964415738329106,0.03585004873584797,buyer,seller,238,48
disapproval,9,0.9549303574030135,0.014038682298484845,-0.012256293882407412,0.03918733166351431,buyer,seller,267,48
gratitude,0,0.0462097882742801,-0.08467303527268262,-0.1389805384687357,-0.03573434807219538,buyer,seller,271,48
gratitude,1,0.15290496267200998,0.012056803699019607,-0.018266334839933472,0.039921348437461486,buyer,seller,239,48
gratitude,2,0.2518578972201775,0.004511468415650404,-0.029543196747515245,0.04259207669446644,buyer,seller,243,48
gratitude,3,0.35187663120173335,0.003866585355331638,-0.009979633870335649,0.023606072962206386,buyer,seller,245,48
gratitude,4,0.4535486683926477,-0.02686272708894488,-0.056502559219817325,-0.0036384341311700803,buyer,seller,252,48
gratitude,5,0.5542856823114648,-0.016324163710169495,-0.06182185475795904,0.02766591128016595,buyer,seller,238,48
gratitude,6,0.6520236483578227,-0.018397357215254234,-0.0513177518639654,0.008665408405716803,buyer,seller,238,48
