emotion,count,mean,std,min,25%,50%,75%,max
admiration,2480.0,0.0783712517451613,0.20403754997373272,0.000480473,0.00222832325,0.0042810375,0.01509058425,0.96214736
amusement,2480.0,0.006397264203629033,0.05100346775703833,0.000262519,0.0011788515,0.0016572165000000002,0.00240242125,0.8833836
anger,2480.0,0.0038688219298387097,0.018584216869624543,0.000359928,0.00107161975,0.0016218410000000002,0.0025998205000000003,0.5990001
annoyance,2480.0,0.02048322024354839,0.052958876096699886,0.001636855,0.00447540075,0.0066968595,0.012971522249999999,0.7103779
approval,2480.0,0.176204100553629,0.20795215894794583,0.003295646,0.027294694,0.080774525,0.2506264575,0.8972828
caring,2480.0,0.017374301803225804,0.06339514326602369,0.000376971,0.00183164875,0.0037661904999999997,0.008973454,0.91137916
confusion,2480.0,0.05790426965725806,0.11856689367138808,0.000525209,0.0025046622500000002,0.0063974875,0.058929064499999996,0.9196942
curiosity,2480.0,0.1658290477576613,0.23711033550605295,0.00036874,0.0021548415,0.007100841,0.320987815,0.89480287
desire,2480.0,0.022658812885887097,0.0772356970698544,0.000441257,0.0014379235,0.002986577,0.007860708000000001,0.7545901
disappointment,2480.0,0.012929721076612903,0.05407337785586805,0.000511596,0.0014783997499999999,0.002315046,0.005720557750000001,0.8236957
disapproval,2480.0,0.04902149407862903,0.13369964932227274,0.000582553,0.003138422,0.004820283999999999,0.01596572475,0.8835137
disgust,2480.0,0.0020125539197580647,0.015540621974689814,0.000269998,0.00071694875,0.0009987375,0.001579202,0.6765409
embarrassment,2480.0,0.0016241681463709677,0.01701974859356466,9.99e-05,0.00029937575,0.0004583145,0.000817559,0.8203497
excitement,2480.0,0.018448843762903223,0.06742234843340619,0.000298117,0.0016072335,0.0036856455,0.00972152225,0.82370025
fear,2480.0,0.001552130633870968,0.0151325776356552,0.000189184,0.0005856712499999999,0.0008687085,0.0013248395000000001,0.7256747
gratitude,2480.0,0.04145628115806451,0.177677682211152,0.00013232,0.0006581567500000001,0.0011681665,0.0031418187500000003,0.9938207
grief,2480.0,0.0006115331673387097,0.0011728953187207577,0.000109669,0.00024231874999999998,0.0003266435,0.0005073825,0.018326275
joy,2480.0,0.011161537813709679,0.04989213890183707,0.000394331,0.001207028,0.0022998645,0.00518864425,0.8953893
love,2480.0,0.012868014141935483,0.07723529628261527,0.000195614,0.00125052425,0.0023142525,0.00455911275,0.9392747
nervousness,2480.0,0.001249030970967742,0.00894368475594954,0.00010577,0.0003396595,0.0005482099999999999,0.0009533625,0.40373778
optimism,2480.0,0.03992580059959677,0.11235219525916981,0.00112205,0.005084536,0.0104417225,0.02425201225,0.937074
pride,2480.0,0.0011185734016129032,0.002183314482613218,4.07e-05,0.00020385425,0.00040222749999999996,0.0010200514999999999,0.033765953
realization,2480.0,0.016325553803629034,0.030367953083632195,0.002244016,0.00640663475,0.0103688805,0.01703729625,0.8265836
relief,2480.0,0.0019473658330645162,0.003937905921348637,0.000106144,0.00043968075,0.0008910190000000001,0.00197468725,0.070205085
remorse,2480.0,0.016063646237096774,0.09869860747034402,9.31e-05,0.00030153549999999997,0.0004612775,0.000832225,0.8319986
sadness,2480.0,0.0072729335875000006,0.03587296563843182,0.000301929,0.0008844825,0.001287953,0.0021232917500000003,0.7975387
surprise,2480.0,0.00864398656733871,0.0459661849214592,0.000210518,0.0008992024999999999,0.002041527,0.004552832,0.73685426
