dimension,reliability_r,retained,threshold,n_splits,vocab_size_tfidf,svd_components
admiration,0.543385201200056,True,0.05,50,7869,100
amusement,0.5585911391939803,True,0.05,50,7869,100
anger,0.4866305358456176,True,0.05,50,7869,100
annoyance,0.480812266407909,True,0.05,50,7869,100
approval,0.48062847113443957,True,0.05,50,7869,100
caring,0.6331421628957019,True,0.05,50,7869,100
confusion,0.4465910182812688,True,0.05,50,7869,100
curiosity,0.5341200745642444,True,0.05,50,7869,100
desire,0.5111051751251683,True,0.05,50,7869,100
disappointment,0.4889139688726589,True,0.05,50,7869,100
disapproval,0.4293247294780279,True,0.05,50,7869,100
disgust,0.7438801748256583,True,0.05,50,7869,100
embarrassment,0.5297034299838973,True,0.05,50,7869,100
excitement,0.48158978764970045,True,0.05,50,7869,100
fear,0.8514707255097114,True,0.05,50,7869,100
gratitude,0.7607593303973706,True,0.05,50,7869,100
grief,0.7726556624620513,True,0.05,50,7869,100
joy,0.5677532587052153,True,0.05,50,7869,100
love,0.5493597134166807,True,0.05,50,7869,100
nervousness,0.7841510175056864,True,0.05,50,7869,100
optimism,0.6673889646141937,True,0.05,50,7869,100
pride,0.4638535151648163,True,0.05,50,7869,100
realization,0.4370845856517351,True,0.05,50,7869,100
relief,0.564864583306872,True,0.05,50,7869,100
remorse,0.8109950447228823,True,0.05,50,7869,100
sadness,0.7694945218480065,True,0.05,50,7869,100
surprise,0.582343837446562,True,0.05,50,7869,100
