emotion,dealerships,heddaya,casino,a2a,emaad
curiosity,2,3,2,3,2
approval,1,1,1,4,1
admiration,3,2,3,1,4
gratitude,6,11,6,2,3
confusion,4,4,7,9,5
optimism,7,6,4,5,7
disapproval,5,5,11,11,9
desire,8,8,5,7,12
excitement,10,12,9,6,10
joy,16,14,8,8,8
caring,11,17,10,10,6
love,15,9,12,12,13
realization,12,7,15,16,11
annoyance,9,15,17,18,14
disappointment,14,13,16,13,16
remorse,13,10,18,20,24
sadness,18,16,14,15,18
surprise,17,18,20,17,15
amusement,19,20,13,22,19
fear,24,19,19,14,21
relief,22,24,22,19,17
anger,20,21,23,23,20
nervousness,25,22,21,24,23
disgust,21,23,24,25,25
pride,26,26,25,21,22
embarrassment,23,25,26,27,26
grief,27,27,27,26,27
