emotion,dealerships,heddaya,casino,a2a,emaad
curiosity,0.1658290477576613,0.04884787817754072,0.1414312346371234,0.2879926919891957,0.20121217086330406
approval,0.176204100553629,0.14439218149061717,0.14214099133974142,0.14543150285264106,0.20241679322656708
admiration,0.0783712517451613,0.06629441206427161,0.07513788022802698,0.35941449973769507,0.12430913197180725
gratitude,0.04145628115806451,0.01401593434036341,0.03556179799775646,0.3030846890255102,0.18032881290260108
confusion,0.05790426965725806,0.03845017238526473,0.034711348206936485,0.031073838970588238,0.05842688602759227
optimism,0.03992580059959677,0.025875948062265036,0.04923322631096121,0.07591781982022809,0.023512498993848854
disapproval,0.04902149407862903,0.0371232525841651,0.023272037498603147,0.019768885604141653,0.021281984315951963
desire,0.022658812885887097,0.019189088537343357,0.04779737105428119,0.035313209398259306,0.009270700331312243
excitement,0.018448843762903223,0.0125962037256203,0.027900076933386732,0.04402448406692677,0.018732833542879322
joy,0.011161537813709679,0.010917209220256893,0.029929876652276557,0.03369131245408163,0.023400095459004098
caring,0.017374301803225804,0.007628181009663221,0.0243282940770222,0.029517358358343338,0.0266268063756942
love,0.012868014141935483,0.017771186379324875,0.018584613224426644,0.016762788971488595,0.007450955833011131
realization,0.016325553803629034,0.02001581618591792,0.012634222991055367,0.008480972855042018,0.014825447077826598
annoyance,0.02048322024354839,0.00993916279996867,0.011177703490640808,0.005975778456182473,0.007231016206033978
disappointment,0.012929721076612903,0.011351694254138473,0.011873710809019816,0.012357141255402162,0.0034959367219947277
remorse,0.016063646237096774,0.014974067161683428,0.010226991478742974,0.0033299476371548616,0.00140201140033099
sadness,0.0072729335875000006,0.008008154164768171,0.013124021849331787,0.008862198041416566,0.0020819535373989458
surprise,0.00864398656733871,0.00621571521997337,0.004651656228208264,0.007727109798919568,0.005804509959862332
amusement,0.006397264203629033,0.0030011964725156644,0.015154946593468943,0.002155827518007203,0.0019198393499560633
fear,0.001552130633870968,0.0038350623727349624,0.00646423084618114,0.009131153354141656,0.0016889427642911542
relief,0.0019473658330645162,0.0015547100890115914,0.0028095907723689577,0.004547859988895559,0.0034070647392970125
anger,0.0038688219298387097,0.0022292348193781327,0.0027910327059274876,0.0020423184531812725,0.001714232512691857
nervousness,0.001249030970967742,0.002043953132951598,0.004404704606812465,0.0018224229333733495,0.0014853221522437025
disgust,0.0020125539197580647,0.0020033618946506894,0.0019270746575316192,0.0013834695210084033,0.0009908924554891622
pride,0.0011185734016129032,0.0009451666244353071,0.0013060058878496346,0.002945976141956782,0.0015454391156549505
embarrassment,0.0016241681463709677,0.001126793098003916,0.0011196928704398537,0.000784279668367347,0.0006471144314780316
grief,0.0006115331673387097,0.0005547790169699249,0.0008185257362162732,0.0013625811848739496,0.000540226214950205
