dataset,emotion,mean_activation,activation_rank,std_activation,pct_nonzero
dealerships,admiration,0.07837,3,0.20404,100.0
dealerships,amusement,0.0064,19,0.051,100.0
dealerships,anger,0.00387,20,0.01858,100.0
dealerships,annoyance,0.02048,9,0.05296,100.0
dealerships,approval,0.1762,1,0.20795,100.0
dealerships,caring,0.01737,11,0.0634,100.0
dealerships,confusion,0.0579,4,0.11857,100.0
dealerships,curiosity,0.16583,2,0.23711,100.0
dealerships,desire,0.02266,8,0.07724,100.0
dealerships,disappointment,0.01293,14,0.05407,100.0
dealerships,disapproval,0.04902,5,0.1337,100.0
dealerships,disgust,0.00201,21,0.01554,100.0
dealerships,embarrassment,0.00162,23,0.01702,100.0
dealerships,excitement,0.01845,10,0.06742,100.0
dealerships,fear,0.00155,24,0.01513,100.0
dealerships,gratitude,0.04146,6,0.17768,100.0
dealerships,grief,0.00061,27,0.00117,100.0
dealerships,joy,0.01116,16,0.04989,100.0
dealerships,love,0.01287,15,0.07724,100.0
dealerships,nervousness,0.00125,25,0.00894,100.0
dealerships,optimism,0.03993,7,0.11235,100.0
dealerships,pride,0.00112,26,0.00218,100.0
dealerships,realization,0.01633,12,0.03037,100.0
dealerships,relief,0.00195,22,0.00394,100.0
dealerships,remorse,0.01606,13,0.0987,100.0
dealerships,sadness,0.00727,18,0.03587,100.0
dealerships,surprise,0.00864,17,0.04597,100.0
heddaya,admiration,0.06629,2,0.18928,100.0
heddaya,amusement,0.003,20,0.02823,100.0
heddaya,anger,0.00223,21,0.00864,100.0
heddaya,annoyance,0.00994,15,0.01947,100.0
heddaya,approval,0.14439,1,0.192,100.0
heddaya,caring,0.00763,17,0.03949,100.0
heddaya,confusion,0.03845,4,0.11798,100.0
heddaya,curiosity,0.04885,3,0.13618,100.0
heddaya,desire,0.01919,8,0.07613,100.0
heddaya,disappointment,0.01135,13,0.04627,100.0
heddaya,disapproval,0.03712,5,0.12093,100.0
heddaya,disgust,0.002,23,0.01372,100.0
heddaya,embarrassment,0.00113,25,0.00457,100.0
heddaya,excitement,0.0126,12,0.05245,100.0
heddaya,fear,0.00384,19,0.04168,100.0
heddaya,gratitude,0.01402,11,0.09664,100.0
heddaya,grief,0.00055,27,0.00108,100.0
heddaya,joy,0.01092,14,0.05958,100.0
heddaya,love,0.01777,9,0.09544,100.0
heddaya,nervousness,0.00204,22,0.01848,100.0
heddaya,optimism,0.02588,6,0.08409,100.0
heddaya,pride,0.00095,26,0.00166,100.0
heddaya,realization,0.02002,7,0.04252,100.0
heddaya,relief,0.00155,24,0.00388,100.0
heddaya,remorse,0.01497,10,0.10041,100.0
heddaya,sadness,0.00801,16,0.04214,100.0
heddaya,surprise,0.00622,18,0.04466,100.0
casino,admiration,0.07514,3,0.20134,100.0
casino,amusement,0.01515,13,0.08539,100.0
casino,anger,0.00279,23,0.01485,100.0
casino,annoyance,0.01118,17,0.02781,100.0
casino,approval,0.14214,1,0.20943,100.0
casino,caring,0.02433,10,0.07858,100.0
casino,confusion,0.03471,7,0.08134,100.0
casino,curiosity,0.14143,2,0.22857,100.0
casino,desire,0.0478,5,0.12366,100.0
casino,disappointment,0.01187,16,0.04503,100.0
casino,disapproval,0.02327,11,0.09349,100.0
casino,disgust,0.00193,24,0.00939,100.0
casino,embarrassment,0.00112,26,0.00649,100.0
casino,excitement,0.0279,9,0.10327,100.0
casino,fear,0.00646,19,0.051,100.0
casino,gratitude,0.03556,6,0.1671,100.0
casino,grief,0.00082,27,0.00158,100.0
casino,joy,0.02993,8,0.11078,100.0
casino,love,0.01858,12,0.09542,100.0
casino,nervousness,0.0044,21,0.03156,100.0
casino,optimism,0.04923,4,0.13528,100.0
casino,pride,0.00131,25,0.00258,100.0
casino,realization,0.01263,15,0.02951,100.0
casino,relief,0.00281,22,0.00746,100.0
casino,remorse,0.01023,18,0.07701,100.0
casino,sadness,0.01312,14,0.06027,100.0
casino,surprise,0.00465,20,0.02794,100.0
a2a,admiration,0.35941,1,0.31356,100.0
a2a,amusement,0.00216,22,0.0016,100.0
a2a,anger,0.00204,23,0.00125,100.0
a2a,annoyance,0.00598,18,0.00693,100.0
a2a,approval,0.14543,4,0.15879,100.0
a2a,caring,0.02952,10,0.07864,100.0
a2a,confusion,0.03107,9,0.03864,100.0
a2a,curiosity,0.28799,3,0.28194,100.0
a2a,desire,0.03531,7,0.07239,100.0
a2a,disappointment,0.01236,13,0.0508,100.0
a2a,disapproval,0.01977,11,0.06018,100.0
a2a,disgust,0.00138,25,0.00124,100.0
a2a,embarrassment,0.00078,27,0.00082,100.0
a2a,excitement,0.04402,6,0.06837,100.0
a2a,fear,0.00913,14,0.07246,100.0
a2a,gratitude,0.30308,2,0.39754,100.0
a2a,grief,0.00136,26,0.00364,100.0
a2a,joy,0.03369,8,0.08901,100.0
a2a,love,0.01676,12,0.05097,100.0
a2a,nervousness,0.00182,24,0.00589,100.0
a2a,optimism,0.07592,5,0.12527,100.0
a2a,pride,0.00295,21,0.0032,100.0
a2a,realization,0.00848,16,0.00716,100.0
a2a,relief,0.00455,19,0.0058,100.0
a2a,remorse,0.00333,20,0.01911,100.0
a2a,sadness,0.00886,15,0.06286,100.0
a2a,surprise,0.00773,17,0.01308,100.0
emaad,admiration,0.12431,4,0.25517,100.0
emaad,amusement,0.00192,19,0.00157,100.0
emaad,anger,0.00171,20,0.00496,100.0
emaad,annoyance,0.00723,14,0.01285,100.0
emaad,approval,0.20242,1,0.23842,100.0
emaad,caring,0.02663,6,0.08822,100.0
emaad,confusion,0.05843,5,0.12509,100.0
emaad,curiosity,0.20121,2,0.25856,100.0
emaad,desire,0.00927,12,0.03205,100.0
emaad,disappointment,0.0035,16,0.01501,100.0
