outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,joy_max,48,0.475,0.0006,0.4651,0.0009,0.475,dealerships
outcome_binary,disapproval_late_mean,48,-0.472,0.0007,-0.5163,0.0002,0.472,dealerships
outcome_binary,disapproval_mean,48,-0.4627,0.0009,-0.4531,0.0012,0.4627,dealerships
outcome_binary,confusion_min,48,-0.4521,0.0013,-0.426,0.0025,0.4521,dealerships
outcome_binary,disapproval_min,48,-0.4449,0.0015,-0.438,0.0018,0.4449,dealerships
outcome_binary,nervousness_min,48,-0.4267,0.0025,-0.4109,0.0037,0.4267,dealerships
outcome_binary,joy_std,48,0.421,0.0029,0.432,0.0022,0.421,dealerships
outcome_binary,joy_mean,48,0.4188,0.0031,0.4229,0.0027,0.4188,dealerships
outcome_binary,disapproval_std,48,-0.3919,0.0059,-0.429,0.0023,0.3919,dealerships
outcome_binary,love_max,48,0.3841,0.007,0.5163,0.0002,0.3841,dealerships
outcome_binary,admiration_max,48,0.3827,0.0073,0.4079,0.004,0.3827,dealerships
outcome_binary,embarrassment_min,48,-0.3803,0.0077,-0.4109,0.0037,0.3803,dealerships
outcome_binary,surprise_min,48,-0.3706,0.0095,-0.3688,0.0099,0.3706,dealerships
outcome_binary,love_late_mean,48,0.37,0.0096,0.4741,0.0007,0.37,dealerships
outcome_binary,approval_buyer_minus_seller_mean,48,0.3643,0.0109,0.3838,0.0071,0.3643,dealerships
outcome_binary,joy_early_mean,48,0.3519,0.0142,0.2544,0.081,0.3519,dealerships
outcome_binary,annoyance_min,48,-0.3476,0.0155,-0.3025,0.0366,0.3476,dealerships
outcome_binary,desire_buyer_minus_seller_mean,48,-0.3409,0.0177,-0.3898,0.0062,0.3409,dealerships
outcome_binary,admiration_mean,48,0.3333,0.0206,0.3326,0.0209,0.3333,dealerships
outcome_binary,surprise_max,48,0.3315,0.0213,0.3055,0.0347,0.3315,dealerships
outcome_binary,admiration_std,48,0.3308,0.0216,0.2935,0.0429,0.3308,dealerships
outcome_binary,love_std,48,0.3297,0.0221,0.4711,0.0007,0.3297,dealerships
outcome_binary,curiosity_max,48,0.3265,0.0235,0.3146,0.0294,0.3265,dealerships
outcome_binary,disapproval_late_minus_early,48,-0.3208,0.0262,-0.2875,0.0476,0.3208,dealerships
outcome_binary,surprise_late_mean,48,0.314,0.0298,0.149,0.3121,0.314,dealerships
outcome_binary,confusion_early_mean,48,0.3116,0.0311,0.2333,0.1105,0.3116,dealerships
outcome_binary,amusement_max,48,0.3112,0.0313,0.3748,0.0087,0.3112,dealerships
outcome_binary,desire_max,48,0.3033,0.0361,0.3055,0.0347,0.3033,dealerships
outcome_binary,amusement_std,48,0.3029,0.0364,0.3326,0.0209,0.3029,dealerships
outcome_binary,approval_mean,48,0.3014,0.0374,0.2815,0.0526,0.3014,dealerships
outcome_binary,surprise_std,48,0.3006,0.0379,0.2815,0.0526,0.3006,dealerships
outcome_binary,disappointment_min,48,-0.295,0.0418,-0.292,0.044,0.295,dealerships
outcome_binary,anger_min,48,-0.2937,0.0427,-0.2514,0.0848,0.2937,dealerships
outcome_binary,confusion_late_minus_early,48,-0.2926,0.0436,-0.2303,0.1153,0.2926,dealerships
outcome_binary,amusement_late_mean,48,0.2877,0.0474,0.3025,0.0366,0.2877,dealerships
outcome_binary,realization_late_mean,48,-0.2868,0.0481,-0.2785,0.0553,0.2868,dealerships
outcome_binary,amusement_mean,48,0.2866,0.0483,0.2845,0.05,0.2866,dealerships
outcome_binary,admiration_late_mean,48,0.2818,0.0523,0.3718,0.0093,0.2818,dealerships
outcome_binary,gratitude_first,48,0.2814,0.0527,0.2694,0.064,0.2814,dealerships
outcome_binary,disgust_min,48,-0.2797,0.0541,-0.2303,0.1153,0.2797,dealerships
outcome_binary,confusion_max,48,0.2785,0.0553,0.2574,0.0774,0.2785,dealerships
outcome_binary,love_mean,48,0.2773,0.0564,0.5042,0.0003,0.2773,dealerships
outcome_binary,surprise_mean,48,0.2718,0.0617,0.2213,0.1307,0.2718,dealerships
outcome_binary,fear_min,48,-0.2694,0.064,-0.1791,0.2232,0.2694,dealerships
outcome_binary,grief_max,48,0.267,0.0665,0.3146,0.0294,0.267,dealerships
outcome_binary,remorse_late_minus_early,48,-0.2662,0.0675,-0.2724,0.061,0.2662,dealerships
outcome_binary,disappointment_first,48,-0.266,0.0676,-0.3507,0.0145,0.266,dealerships
outcome_binary,disgust_first,48,-0.2653,0.0683,-0.2664,0.0672,0.2653,dealerships
outcome_binary,caring_buyer_minus_seller_mean,48,0.256,0.0791,0.2243,0.1254,0.256,dealerships
outcome_binary,remorse_early_mean,48,0.2554,0.0797,0.3025,0.0366,0.2554,dealerships
outcome_binary,relief_delta,48,-0.2542,0.0812,-0.2574,0.0774,0.2542,dealerships
outcome_binary,annoyance_buyer_minus_seller_mean,48,-0.2496,0.0871,-0.2604,0.0739,0.2496,dealerships
outcome_binary,sadness_min,48,-0.2495,0.0872,-0.2453,0.0928,0.2495,dealerships
outcome_binary,gratitude_delta,48,-0.2466,0.091,-0.2905,0.0452,0.2466,dealerships
outcome_binary,optimism_buyer_minus_seller_mean,48,-0.2447,0.0936,-0.1731,0.2394,0.2447,dealerships
outcome_binary,sadness_max,48,0.2438,0.0949,0.3055,0.0347,0.2438,dealerships
outcome_binary,realization_late_minus_early,48,-0.2418,0.0978,-0.2965,0.0407,0.2418,dealerships
outcome_binary,remorse_max,48,0.2413,0.0985,0.2092,0.1535,0.2413,dealerships
outcome_binary,amusement_min,48,-0.2406,0.0995,-0.2273,0.1203,0.2406,dealerships
outcome_binary,caring_late_mean,48,-0.2404,0.0998,-0.155,0.2927,0.2404,dealerships
outcome_binary,excitement_delta,48,0.2404,0.0998,0.137,0.3532,0.2404,dealerships
outcome_binary,gratitude_min,48,-0.2398,0.1006,-0.2152,0.1418,0.2398,dealerships
