outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,embarrassment_last,405,-0.6654,0.0,-0.6989,0.0,0.6654,a2a
outcome_binary,disgust_late_mean,405,-0.6412,0.0,-0.7279,0.0,0.6412,a2a
outcome_binary,embarrassment_mean,405,-0.6383,0.0,-0.6712,0.0,0.6383,a2a
outcome_binary,embarrassment_delta,405,-0.637,0.0,-0.665,0.0,0.637,a2a
outcome_binary,disgust_last,405,-0.6206,0.0,-0.7487,0.0,0.6206,a2a
outcome_binary,annoyance_mean,405,-0.6174,0.0,-0.6948,0.0,0.6174,a2a
outcome_binary,annoyance_last,405,-0.6167,0.0,-0.7391,0.0,0.6167,a2a
outcome_binary,annoyance_delta,405,-0.6132,0.0,-0.7244,0.0,0.6132,a2a
outcome_binary,annoyance_late_mean,405,-0.6131,0.0,-0.7102,0.0,0.6131,a2a
outcome_binary,disgust_delta,405,-0.6072,0.0,-0.6886,0.0,0.6072,a2a
outcome_binary,disgust_late_minus_early,405,-0.5982,0.0,-0.6549,0.0,0.5982,a2a
outcome_binary,disgust_mean,405,-0.5873,0.0,-0.6726,0.0,0.5873,a2a
outcome_binary,embarrassment_late_mean,405,-0.583,0.0,-0.7051,0.0,0.583,a2a
outcome_binary,annoyance_late_minus_early,405,-0.5777,0.0,-0.581,0.0,0.5777,a2a
outcome_binary,realization_last,405,-0.5609,0.0,-0.6142,0.0,0.5609,a2a
outcome_binary,anger_late_mean,405,-0.56,0.0,-0.5675,0.0,0.56,a2a
outcome_binary,disapproval_late_mean,405,-0.5293,0.0,-0.6147,0.0,0.5293,a2a
outcome_binary,annoyance_std,405,-0.5275,0.0,-0.6378,0.0,0.5275,a2a
outcome_binary,realization_delta,405,-0.5253,0.0,-0.5747,0.0,0.5253,a2a
outcome_binary,embarrassment_late_minus_early,405,-0.5229,0.0,-0.5949,0.0,0.5229,a2a
outcome_binary,disapproval_late_minus_early,405,-0.5138,0.0,-0.5559,0.0,0.5138,a2a
outcome_binary,annoyance_max,405,-0.5126,0.0,-0.6411,0.0,0.5126,a2a
outcome_binary,anger_mean,405,-0.5034,0.0,-0.519,0.0,0.5034,a2a
outcome_binary,disapproval_mean,405,-0.5015,0.0,-0.6435,0.0,0.5015,a2a
outcome_binary,disapproval_delta,405,-0.4997,0.0,-0.6662,0.0,0.4997,a2a
outcome_binary,anger_last,405,-0.4996,0.0,-0.5301,0.0,0.4996,a2a
outcome_binary,disapproval_last,405,-0.4992,0.0,-0.6539,0.0,0.4992,a2a
outcome_binary,realization_late_mean,405,-0.4822,0.0,-0.5405,0.0,0.4822,a2a
outcome_binary,disapproval_std,405,-0.4613,0.0,-0.6324,0.0,0.4613,a2a
outcome_binary,disapproval_max,405,-0.4562,0.0,-0.6278,0.0,0.4562,a2a
outcome_binary,disappointment_mean,405,-0.4522,0.0,-0.6635,0.0,0.4522,a2a
outcome_binary,realization_mean,405,-0.4473,0.0,-0.5375,0.0,0.4473,a2a
outcome_binary,sadness_min,405,-0.4472,0.0,-0.4289,0.0,0.4472,a2a
outcome_binary,disgust_min,405,-0.4395,0.0,-0.4148,0.0,0.4395,a2a
outcome_binary,embarrassment_min,405,-0.4331,0.0,-0.4255,0.0,0.4331,a2a
outcome_binary,embarrassment_max,405,-0.4283,0.0,-0.5706,0.0,0.4283,a2a
outcome_binary,embarrassment_std,405,-0.4281,0.0,-0.5404,0.0,0.4281,a2a
outcome_binary,grief_late_mean,405,-0.4276,0.0,-0.645,0.0,0.4276,a2a
outcome_binary,anger_late_minus_early,405,-0.4236,0.0,-0.4141,0.0,0.4236,a2a
outcome_binary,anger_delta,405,-0.4222,0.0,-0.4007,0.0,0.4222,a2a
outcome_binary,realization_late_minus_early,405,-0.4187,0.0,-0.4609,0.0,0.4187,a2a
outcome_binary,approval_late_mean,405,0.4178,0.0,0.4389,0.0,0.4178,a2a
outcome_binary,grief_mean,405,-0.4053,0.0,-0.5108,0.0,0.4053,a2a
outcome_binary,disgust_max,405,-0.4046,0.0,-0.575,0.0,0.4046,a2a
outcome_binary,disappointment_late_mean,405,-0.3975,0.0,-0.7002,0.0,0.3975,a2a
outcome_binary,grief_late_minus_early,405,-0.3974,0.0,-0.5002,0.0,0.3974,a2a
outcome_binary,disappointment_last,405,-0.3946,0.0,-0.7367,0.0,0.3946,a2a
outcome_binary,disappointment_delta,405,-0.3943,0.0,-0.7312,0.0,0.3943,a2a
outcome_binary,disappointment_std,405,-0.3897,0.0,-0.6428,0.0,0.3897,a2a
outcome_binary,approval_mean,405,0.3896,0.0,0.3898,0.0,0.3896,a2a
outcome_binary,approval_last,405,0.3842,0.0,0.4641,0.0,0.3842,a2a
outcome_binary,disappointment_min,405,-0.3807,0.0,-0.3154,0.0,0.3807,a2a
outcome_binary,disappointment_max,405,-0.379,0.0,-0.6377,0.0,0.379,a2a
outcome_binary,annoyance_min,405,-0.3786,0.0,-0.3734,0.0,0.3786,a2a
outcome_binary,approval_late_minus_early,405,0.374,0.0,0.3876,0.0,0.374,a2a
outcome_binary,amusement_delta,405,0.3729,0.0,0.4069,0.0,0.3729,a2a
outcome_binary,realization_std,405,-0.3668,0.0,-0.5368,0.0,0.3668,a2a
outcome_binary,joy_late_mean,405,0.3655,0.0,0.6074,0.0,0.3655,a2a
outcome_binary,excitement_late_mean,405,0.3643,0.0,0.6698,0.0,0.3643,a2a
outcome_binary,disappointment_late_minus_early,405,-0.3635,0.0,-0.6156,0.0,0.3635,a2a
outcome_binary,approval_delta,405,0.3613,0.0,0.4363,0.0,0.3613,a2a
outcome_binary,remorse_min,405,-0.3574,0.0,-0.3588,0.0,0.3574,a2a
outcome_binary,disgust_std,405,-0.3566,0.0,-0.4893,0.0,0.3566,a2a
outcome_binary,amusement_last,405,0.3454,0.0,0.4359,0.0,0.3454,a2a
outcome_binary,sadness_late_mean,405,-0.3408,0.0,-0.6987,0.0,0.3408,a2a
outcome_binary,realization_max,405,-0.337,0.0,-0.5165,0.0,0.337,a2a
outcome_binary,sadness_late_minus_early,405,-0.336,0.0,-0.6285,0.0,0.336,a2a
outcome_binary,sadness_mean,405,-0.335,0.0,-0.6384,0.0,0.335,a2a
outcome_binary,joy_delta,405,0.3293,0.0,0.5784,0.0,0.3293,a2a
outcome_binary,anger_min,405,-0.3283,0.0,-0.3042,0.0,0.3283,a2a
outcome_binary,joy_last,405,0.3238,0.0,0.6099,0.0,0.3238,a2a
outcome_binary,amusement_late_mean,405,0.3235,0.0,0.4375,0.0,0.3235,a2a
outcome_binary,joy_mean,405,0.3233,0.0,0.3695,0.0,0.3233,a2a
outcome_binary,embarrassment_early_mean,405,-0.3184,0.0,-0.2509,0.0,0.3184,a2a
outcome_binary,gratitude_late_mean,405,-0.3164,0.0,-0.3431,0.0,0.3164,a2a
outcome_binary,grief_last,405,-0.3099,0.0,-0.6486,0.0,0.3099,a2a
outcome_binary,excitement_last,405,0.3072,0.0,0.632,0.0,0.3072,a2a
outcome_binary,curiosity_late_mean,405,0.3057,0.0,0.3743,0.0,0.3057,a2a
outcome_binary,grief_min,405,-0.3031,0.0,-0.2681,0.0,0.3031,a2a
outcome_binary,grief_delta,405,-0.2992,0.0,-0.4578,0.0,0.2992,a2a
outcome_binary,anger_max,405,-0.2973,0.0,-0.3361,0.0,0.2973,a2a
outcome_binary,curiosity_last,405,0.2966,0.0,0.3532,0.0,0.2966,a2a
outcome_binary,grief_std,405,-0.2937,0.0,-0.4043,0.0,0.2937,a2a
outcome_binary,joy_std,405,0.2932,0.0,0.3146,0.0,0.2932,a2a
outcome_binary,sadness_std,405,-0.292,0.0,-0.5582,0.0,0.292,a2a
outcome_binary,approval_max,405,0.2917,0.0,0.2952,0.0,0.2917,a2a
outcome_binary,approval_std,405,0.2913,0.0,0.3022,0.0,0.2913,a2a
outcome_binary,joy_max,405,0.2912,0.0,0.3156,0.0,0.2912,a2a
outcome_binary,embarrassment_buyer_minus_seller_mean,399,-0.291,0.0,-0.2584,0.0,0.291,a2a
outcome_binary,gratitude_last,405,-0.2899,0.0,-0.2844,0.0,0.2899,a2a
outcome_binary,amusement_late_minus_early,405,0.2891,0.0,0.3136,0.0,0.2891,a2a
outcome_binary,grief_max,405,-0.2868,0.0,-0.4414,0.0,0.2868,a2a
outcome_binary,sadness_max,405,-0.2832,0.0,-0.5779,0.0,0.2832,a2a
outcome_binary,sadness_last,405,-0.2729,0.0,-0.6997,0.0,0.2729,a2a
outcome_binary,sadness_delta,405,-0.2724,0.0,-0.6532,0.0,0.2724,a2a
outcome_binary,curiosity_late_minus_early,405,0.2641,0.0,0.3044,0.0,0.2641,a2a
outcome_binary,joy_min,405,0.2449,0.0,0.2644,0.0,0.2449,a2a
outcome_binary,anger_std,405,-0.2417,0.0,-0.1905,0.0001,0.2417,a2a
outcome_binary,nervousness_late_mean,405,-0.2412,0.0,-0.2279,0.0,0.2412,a2a
outcome_binary,love_min,405,0.2401,0.0,0.3382,0.0,0.2401,a2a
outcome_binary,nervousness_last,405,-0.2394,0.0,-0.164,0.0009,0.2394,a2a
outcome_binary,admiration_mean,405,0.2388,0.0,0.209,0.0,0.2388,a2a
outcome_binary,excitement_mean,405,0.2342,0.0,0.3277,0.0,0.2342,a2a
outcome_binary,sadness_early_mean,405,-0.2312,0.0,-0.2432,0.0,0.2312,a2a
outcome_binary,nervousness_delta,405,-0.229,0.0,-0.0686,0.1681,0.229,a2a
