outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,curiosity_buyer_minus_seller_mean,200,-0.6409,0.0,-0.6675,0.0,0.6409,emaad
outcome_binary,pride_buyer_minus_seller_mean,200,0.6009,0.0,0.6397,0.0,0.6009,emaad
outcome_binary,disapproval_buyer_minus_seller_mean,200,0.5796,0.0,0.7301,0.0,0.5796,emaad
outcome_binary,disapproval_mean,200,-0.5534,0.0,-0.6816,0.0,0.5534,emaad
outcome_binary,excitement_late_mean,200,0.5481,0.0,0.758,0.0,0.5481,emaad
outcome_binary,disapproval_std,200,-0.5105,0.0,-0.6201,0.0,0.5105,emaad
outcome_binary,relief_buyer_minus_seller_mean,200,0.5087,0.0,0.5775,0.0,0.5087,emaad
outcome_binary,remorse_min,200,-0.497,0.0,-0.5366,0.0,0.497,emaad
outcome_binary,joy_buyer_minus_seller_mean,200,0.4959,0.0,0.5432,0.0,0.4959,emaad
outcome_binary,surprise_last,200,0.4936,0.0,0.5738,0.0,0.4936,emaad
outcome_binary,annoyance_min,200,-0.4919,0.0,-0.4966,0.0,0.4919,emaad
outcome_binary,annoyance_mean,200,-0.4908,0.0,-0.6729,0.0,0.4908,emaad
outcome_binary,grief_mean,200,-0.4878,0.0,-0.5233,0.0,0.4878,emaad
outcome_binary,relief_mean,200,-0.4852,0.0,-0.5097,0.0,0.4852,emaad
outcome_binary,disapproval_max,200,-0.4788,0.0,-0.5877,0.0,0.4788,emaad
outcome_binary,disapproval_late_mean,200,-0.4657,0.0,-0.7221,0.0,0.4657,emaad
outcome_binary,disgust_mean,200,-0.4532,0.0,-0.4678,0.0,0.4532,emaad
outcome_binary,embarrassment_mean,200,-0.4524,0.0,-0.6111,0.0,0.4524,emaad
outcome_binary,confusion_min,200,-0.4513,0.0,-0.4405,0.0,0.4513,emaad
outcome_binary,caring_mean,200,-0.437,0.0,-0.4424,0.0,0.437,emaad
outcome_binary,excitement_mean,200,0.4344,0.0,0.4678,0.0,0.4344,emaad
outcome_binary,disapproval_last,200,-0.4322,0.0,-0.5454,0.0,0.4322,emaad
outcome_binary,embarrassment_min,200,-0.4319,0.0,-0.3923,0.0,0.4319,emaad
outcome_binary,curiosity_mean,200,0.4276,0.0,0.4212,0.0,0.4276,emaad
outcome_binary,disgust_min,200,-0.425,0.0,-0.4238,0.0,0.425,emaad
outcome_binary,disapproval_delta,200,-0.4237,0.0,-0.5182,0.0,0.4237,emaad
outcome_binary,approval_buyer_minus_seller_mean,200,-0.4229,0.0,-0.4289,0.0,0.4229,emaad
outcome_binary,grief_min,200,-0.4093,0.0,-0.4164,0.0,0.4093,emaad
outcome_binary,sadness_min,200,-0.4079,0.0,-0.3901,0.0,0.4079,emaad
outcome_binary,curiosity_std,200,0.4049,0.0,0.3828,0.0,0.4049,emaad
outcome_binary,gratitude_buyer_minus_seller_mean,200,0.3977,0.0,0.3701,0.0,0.3977,emaad
outcome_binary,amusement_late_mean,200,0.3954,0.0,0.5279,0.0,0.3954,emaad
outcome_binary,caring_late_mean,200,-0.3887,0.0,-0.5439,0.0,0.3887,emaad
outcome_binary,annoyance_late_mean,200,-0.3875,0.0,-0.6256,0.0,0.3875,emaad
outcome_binary,disappointment_late_mean,200,-0.383,0.0,-0.6559,0.0,0.383,emaad
outcome_binary,caring_min,200,-0.3762,0.0,-0.3767,0.0,0.3762,emaad
outcome_binary,anger_late_mean,200,-0.3761,0.0,-0.4299,0.0,0.3761,emaad
outcome_binary,grief_late_mean,200,-0.3732,0.0,-0.3911,0.0,0.3732,emaad
outcome_binary,disapproval_late_minus_early,200,-0.3657,0.0,-0.5279,0.0,0.3657,emaad
outcome_binary,desire_min,200,-0.3655,0.0,-0.3462,0.0,0.3655,emaad
outcome_binary,annoyance_std,200,-0.3638,0.0,-0.5222,0.0,0.3638,emaad
outcome_binary,nervousness_min,200,-0.3634,0.0,-0.3492,0.0,0.3634,emaad
outcome_binary,annoyance_buyer_minus_seller_mean,200,0.3603,0.0,0.521,0.0,0.3603,emaad
outcome_binary,embarrassment_buyer_minus_seller_mean,200,0.3561,0.0,0.4294,0.0,0.3561,emaad
outcome_binary,disappointment_late_minus_early,200,-0.3527,0.0,-0.4787,0.0,0.3527,emaad
outcome_binary,fear_min,200,-0.3526,0.0,-0.3139,0.0,0.3526,emaad
outcome_binary,optimism_late_mean,200,-0.3522,0.0,-0.4351,0.0,0.3522,emaad
outcome_binary,annoyance_max,200,-0.3484,0.0,-0.4871,0.0,0.3484,emaad
outcome_binary,curiosity_max,200,0.3474,0.0,0.3237,0.0,0.3474,emaad
outcome_binary,joy_min,200,-0.347,0.0,-0.3365,0.0,0.347,emaad
outcome_binary,caring_std,200,-0.3453,0.0,-0.3099,0.0,0.3453,emaad
outcome_binary,excitement_last,200,0.3433,0.0,0.4621,0.0,0.3433,emaad
outcome_binary,admiration_mean,200,0.3425,0.0,0.3197,0.0,0.3425,emaad
outcome_binary,surprise_min,200,-0.3419,0.0,-0.3563,0.0,0.3419,emaad
outcome_binary,disappointment_mean,200,-0.3411,0.0,-0.689,0.0,0.3411,emaad
outcome_binary,optimism_min,200,-0.335,0.0,-0.2888,0.0,0.335,emaad
outcome_binary,embarrassment_std,200,-0.3292,0.0,-0.4503,0.0,0.3292,emaad
outcome_binary,realization_mean,200,-0.3281,0.0,-0.5226,0.0,0.3281,emaad
outcome_binary,approval_max,200,0.328,0.0,0.3762,0.0,0.328,emaad
outcome_binary,remorse_last,200,-0.3275,0.0,-0.4223,0.0,0.3275,emaad
outcome_binary,excitement_max,200,0.3249,0.0,0.3875,0.0,0.3249,emaad
outcome_binary,remorse_delta,200,-0.3248,0.0,-0.3786,0.0,0.3248,emaad
outcome_binary,joy_mean,200,-0.3223,0.0,-0.1891,0.0073,0.3223,emaad
outcome_binary,annoyance_last,200,-0.3179,0.0,-0.3102,0.0,0.3179,emaad
outcome_binary,disgust_std,200,-0.3177,0.0,-0.3436,0.0,0.3177,emaad
outcome_binary,pride_min,200,-0.3164,0.0,-0.356,0.0,0.3164,emaad
outcome_binary,annoyance_late_minus_early,200,-0.3154,0.0,-0.4398,0.0,0.3154,emaad
outcome_binary,grief_buyer_minus_seller_mean,200,0.3136,0.0,0.3358,0.0,0.3136,emaad
outcome_binary,excitement_std,200,0.3128,0.0,0.3726,0.0,0.3128,emaad
outcome_binary,disappointment_buyer_minus_seller_mean,200,0.3115,0.0,0.6495,0.0,0.3115,emaad
outcome_binary,admiration_max,200,0.3092,0.0,0.2401,0.0006,0.3092,emaad
outcome_binary,embarrassment_max,200,-0.3071,0.0,-0.423,0.0,0.3071,emaad
outcome_binary,relief_min,200,-0.3046,0.0,-0.3381,0.0,0.3046,emaad
outcome_binary,disgust_late_mean,200,-0.3009,0.0,-0.2806,0.0001,0.3009,emaad
outcome_binary,embarrassment_late_mean,200,-0.2982,0.0,-0.4102,0.0,0.2982,emaad
outcome_binary,disgust_max,200,-0.2955,0.0,-0.3249,0.0,0.2955,emaad
outcome_binary,disgust_late_minus_early,200,-0.2952,0.0,-0.308,0.0,0.2952,emaad
outcome_binary,relief_std,200,-0.2929,0.0,-0.2945,0.0,0.2929,emaad
outcome_binary,caring_last,200,-0.292,0.0,-0.1729,0.0144,0.292,emaad
outcome_binary,caring_delta,200,-0.2915,0.0,-0.1619,0.022,0.2915,emaad
outcome_binary,admiration_early_mean,200,0.2884,0.0,0.3149,0.0,0.2884,emaad
outcome_binary,grief_std,200,-0.2852,0.0,-0.3036,0.0,0.2852,emaad
outcome_binary,admiration_std,200,0.285,0.0,0.2293,0.0011,0.285,emaad
outcome_binary,pride_mean,200,-0.2827,0.0001,-0.265,0.0001,0.2827,emaad
outcome_binary,joy_std,200,-0.2817,0.0001,-0.1663,0.0186,0.2817,emaad
outcome_binary,sadness_mean,200,-0.277,0.0001,-0.4985,0.0,0.277,emaad
outcome_binary,joy_last,200,0.2757,0.0001,0.3253,0.0,0.2757,emaad
outcome_binary,curiosity_early_mean,200,0.2748,0.0001,0.2614,0.0002,0.2748,emaad
outcome_binary,optimism_mean,200,-0.2726,0.0001,-0.2929,0.0,0.2726,emaad
outcome_binary,anger_min,200,-0.2714,0.0001,-0.2513,0.0003,0.2714,emaad
