emotion,adf_stat,adf_p,stationary,rw_rmse,ar1_r2_in,ar1_rmse_oos,ar3_r2_in,ar3_aic,ar1_beats_rw_pct,structured
surprise,-81.1848,0.0,True,0.026516,0.0002,0.012799,0.0021,-40853.3,51.73,True
grief,-25.8503,0.0,True,0.002138,0.0208,0.001388,0.0223,-90097.45,35.08,True
love,-31.1664,0.0,True,0.102522,0.001,0.068433,0.0064,-17759.28,33.25,True
sadness,-45.1703,0.0,True,0.076888,0.013,0.052139,0.0133,-24902.09,32.19,True
curiosity,-21.9765,0.0,True,0.321655,0.0009,0.218653,0.0235,-2276.75,32.02,True
fear,-45.8348,0.0,True,0.087954,0.0004,0.060268,0.0015,-29624.84,31.48,True
nervousness,-53.1535,0.0,True,0.031616,0.0088,0.022005,0.0132,-37674.57,30.4,True
optimism,-56.8488,0.0,True,0.16668,0.0053,0.1161,0.0069,-12048.01,30.35,True
gratitude,-32.3688,0.0,True,0.245485,0.0039,0.171058,0.0042,-5836.97,30.32,True
confusion,-21.7467,0.0,True,0.136259,0.0004,0.095052,0.0036,-18788.15,30.24,True
desire,-31.0284,0.0,True,0.148199,0.0087,0.10371,0.0107,-13791.63,30.02,True
excitement,-27.6954,0.0,True,0.082125,0.0188,0.05767,0.0198,-25551.38,29.78,True
realization,-31.7082,0.0,True,0.030426,0.0011,0.021491,0.0011,-36450.72,29.37,True
relief,-111.3084,0.0,True,0.008545,0.0032,0.006075,0.0035,-60289.67,28.91,True
approval,-22.0563,0.0,True,0.315971,0.004,0.224981,0.0044,-1570.01,28.8,True
admiration,-45.4446,0.0,True,0.294274,0.0067,0.210258,0.0071,-3339.13,28.55,True
amusement,-54.2909,0.0,True,0.097893,0.0084,0.070058,0.011,-16936.2,28.43,True
remorse,-64.8025,0.0,True,0.108218,0.003,0.07775,0.0046,-19180.03,28.15,True
caring,-31.5861,0.0,True,0.112943,0.0049,0.081298,0.0084,-20925.06,28.02,True
embarrassment,-21.339,0.0,True,0.003345,0.0002,0.002415,0.0002,-63721.37,27.8,True
disapproval,-36.9709,0.0,True,0.122379,0.0023,0.089583,0.0081,-15781.92,26.8,True
disgust,-117.8552,0.0,True,0.0027,0.0001,0.001982,0.0002,-55967.2,26.59,True
disappointment,-79.743,0.0,True,0.052739,0.003,0.038732,0.0036,-29443.38,26.56,True
joy,-31.6899,0.0,True,0.155241,0.0069,0.114059,0.0072,-13823.67,26.53,True
annoyance,-50.2353,0.0,True,0.038595,0.0078,0.028403,0.0093,-37586.6,26.41,True
pride,-32.4781,0.0,True,0.003055,0.0144,0.002273,0.0144,-80446.66,25.6,True
anger,-116.5929,0.0,True,0.006112,0.0004,0.004575,0.0005,-45842.7,25.15,True
