emotion,b2s_r2,s2b_r2,b2s_lag1_coef,s2b_lag1_coef,b2s_lag1_p,s2b_lag1_p,gc_buyer2seller_p,gc_seller2buyer_p,gc_buyer2seller_sig,gc_seller2buyer_sig,leader
admiration,0.002,0.0055,-9e-05,0.04865,0.9954,0.0023,0.8744,0.3209,False,False,symmetric
amusement,0.0118,0.0033,0.08185,0.01368,0.0,0.3283,0.7514,0.6736,False,False,buyer
anger,0.0,0.0012,0.00131,0.02671,0.9458,0.0339,0.8602,0.5245,False,False,symmetric
annoyance,0.0036,0.0057,0.03489,0.06269,0.0367,0.0,0.5932,0.5712,False,False,symmetric
approval,0.0004,0.0002,0.01081,0.00107,0.5005,0.9468,0.1741,0.2043,False,False,symmetric
caring,0.0075,0.0089,0.06262,0.06956,0.0,0.0,0.8055,0.6916,False,False,symmetric
confusion,0.0004,0.0019,-0.0119,0.02116,0.4475,0.1304,0.8295,0.2238,False,False,symmetric
curiosity,0.0026,0.0042,0.03747,0.05151,0.0068,0.0004,0.2097,0.3519,False,False,symmetric
desire,0.0078,0.003,0.07648,0.03922,0.0,0.0017,0.2787,0.848,False,False,symmetric
disappointment,0.0029,0.0008,0.04427,0.01003,0.0026,0.3943,0.2486,0.4626,False,False,symmetric
disapproval,0.011,0.0002,0.08705,0.00145,0.0,0.9163,0.5351,0.8913,False,False,buyer
disgust,0.0003,0.0,0.00088,-0.00078,0.9187,0.9685,0.8615,0.86,False,False,symmetric
embarrassment,0.0001,0.0001,0.01332,0.0055,0.6121,0.5736,0.8952,0.6493,False,False,symmetric
excitement,0.0144,0.0031,0.08423,0.03131,0.0,0.0296,0.6895,0.7762,False,False,buyer
fear,0.0071,0.0009,0.02553,-0.00439,0.0335,0.7482,0.0,0.9244,True,False,buyer
gratitude,0.0013,0.0043,0.03368,0.02754,0.0308,0.1255,0.5948,0.1335,False,False,symmetric
grief,0.0018,0.0038,0.03292,0.02719,0.0234,0.0514,0.2209,0.4727,False,False,symmetric
joy,0.0061,0.0038,0.07514,0.05969,0.0,0.0002,0.7467,0.3811,False,False,symmetric
love,0.0031,0.0044,0.01568,0.03369,0.2056,0.0046,0.7095,0.6942,False,False,symmetric
nervousness,0.0081,0.0002,0.00665,0.00309,0.528,0.6204,0.0,0.7291,True,False,buyer
optimism,0.0031,0.0016,0.04251,0.02803,0.0034,0.0633,0.0281,0.7819,True,False,symmetric
pride,0.0042,0.0082,0.02876,0.0795,0.0799,0.0,0.7252,0.5349,False,False,symmetric
realization,0.0007,0.0009,0.01884,0.02256,0.2571,0.0935,0.0293,0.4526,True,False,symmetric
relief,0.0021,0.0044,0.01579,0.05371,0.3587,0.0001,0.4387,0.4024,False,False,symmetric
remorse,0.0003,0.0027,0.01363,0.03377,0.3283,0.0333,0.5493,0.1607,False,False,symmetric
sadness,0.0018,0.0021,0.01786,-0.00104,0.2012,0.9414,0.2874,0.596,False,False,symmetric
surprise,0.0004,0.0,0.00026,0.00017,0.9553,0.9961,0.9243,0.8455,False,False,symmetric
