emotion,adf_stat,adf_p,stationary,rw_rmse,ar1_r2_in,ar1_rmse_oos,ar3_r2_in,ar3_aic,ar1_beats_rw_pct,structured
love,-58.4416,0.0,True,0.062868,0.0,0.033662,0.0001,-7293.16,46.46,True
curiosity,-21.6937,0.0,True,0.411214,0.1009,0.248993,0.1235,218.65,39.45,True
optimism,-58.1631,0.0,True,0.084067,0.0001,0.05224,0.0003,-8265.02,37.86,True
disgust,-21.5362,0.0,True,0.001132,0.0119,0.00073,0.0318,-25828.9,35.51,True
confusion,-11.5782,0.0,True,0.236438,0.0248,0.156076,0.0597,-2932.46,33.99,True
desire,-59.2371,0.0,True,0.040382,0.0001,0.026722,0.0005,-8793.15,33.83,True
admiration,-33.0393,0.0,True,0.398526,0.0058,0.266377,0.0124,436.34,33.16,True
embarrassment,-38.295,0.0,True,0.00227,0.0028,0.001542,0.0215,-24143.04,32.07,True
approval,-18.0033,0.0,True,0.367315,0.004,0.25027,0.0071,142.11,31.87,True
anger,-58.5423,0.0,True,0.00221,0.0,0.001515,0.0,-16563.44,31.45,True
disapproval,-12.0313,0.0,True,0.151605,0.0007,0.104309,0.0258,-4684.4,31.2,True
grief,-10.1316,0.0,True,0.000825,0.0001,0.000573,0.0034,-28111.48,30.55,True
nervousness,-59.1542,0.0,True,0.009765,0.0001,0.006797,0.0003,-14806.11,30.39,True
pride,-19.7748,0.0,True,0.00466,0.0008,0.00325,0.0018,-20267.2,30.26,True
sadness,-9.4428,0.0,True,0.011509,0.0,0.008051,0.0007,-15998.83,30.05,True
remorse,-58.3323,0.0,True,0.002634,0.0,0.001847,0.0001,-12117.05,29.88,True
fear,-58.759,0.0,True,0.015632,0.0,0.010974,0.0001,-12883.93,29.8,True
disappointment,-39.8842,0.0,True,0.035996,0.0001,0.025269,0.0022,-12973.65,29.8,True
surprise,-40.4843,0.0,True,0.051409,0.0003,0.036112,0.0025,-10816.28,29.76,True
annoyance,-36.7989,0.0,True,0.017205,0.0,0.01214,0.0126,-12658.25,29.44,True
relief,-43.0062,0.0,True,0.009142,0.0007,0.006484,0.0011,-15995.58,29.07,True
realization,-10.8003,0.0,True,0.060797,0.0035,0.043284,0.0037,-9306.09,28.81,True
excitement,-11.4224,0.0,True,0.039173,0.001,0.028179,0.0093,-8873.61,28.07,True
joy,-42.6476,0.0,True,0.139893,0.0006,0.104266,0.0012,-4073.68,25.47,True
amusement,-12.2592,0.0,True,0.003217,0.0,0.002497,0.0043,-23144.44,22.38,True
caring,-39.1994,0.0,True,0.123612,0.0,0.098132,0.0031,-5020.32,20.61,True
gratitude,-24.7854,0.0,True,0.447927,0.0645,0.358171,0.0676,1675.79,20.04,True
