conversation_id,turn,raw_outcome,outcome_binary,z_1,z_2,z_3,z_4
2026_1,0,no sale,0,0.461337,-1.382048,0.246871,1.969219
2026_1,1,no sale,0,0.434655,-1.658113,0.516114,2.511518
2026_1,2,no sale,0,-0.16841,-1.10717,0.753178,2.13644
2026_1,3,no sale,0,-0.468066,-0.543017,0.812855,1.729852
2026_1,4,no sale,0,-0.296491,-0.280022,0.689444,1.539714
2026_1,5,no sale,0,0.166313,-0.464466,0.45284,1.874218
2026_1,6,no sale,0,0.440134,-0.599979,0.309101,1.944855
2026_1,7,no sale,0,0.408471,-0.510211,0.285272,1.512439
2026_1,8,no sale,0,0.228082,-0.285007,0.328085,0.902591
2026_1,9,no sale,0,-0.059069,-0.055531,0.489798,0.51503
2026_1,10,no sale,0,-0.11703,0.065509,0.749456,0.483671
2026_1,11,no sale,0,0.144177,0.355977,1.200389,0.177458
2026_1,12,no sale,0,0.310315,0.558373,1.733934,-0.295879
2026_1,13,no sale,0,0.022468,0.274295,1.927463,-0.470152
2026_1,14,no sale,0,-0.390611,-0.447365,1.748804,-0.29665
2026_1,15,no sale,0,-0.465663,-1.108653,1.420665,-0.099972
2026_10,0,sale,1,0.112418,-1.380049,0.72839,-0.168092
2026_10,1,sale,1,0.260028,-1.918811,0.910956,-0.385658
2026_10,2,sale,1,0.732729,-2.216492,0.930853,-0.104578
2026_10,3,sale,1,1.207531,-2.270422,0.871933,0.325527
2026_10,4,sale,1,1.378668,-2.116091,0.808391,0.645774
2026_10,5,sale,1,0.948216,-1.884307,0.901205,0.5692
2026_10,6,sale,1,0.379717,-1.574549,1.024214,0.262979
2026_10,7,sale,1,0.120254,-1.285194,1.055266,-0.115146
2026_10,8,sale,1,0.357152,-1.299412,0.982945,-0.124268
2026_10,9,sale,1,0.383798,-1.112577,0.815136,0.668272
2026_10,10,sale,1,0.306722,-0.759249,0.740456,1.507711
2026_10,11,sale,1,-0.100515,-0.549294,0.837322,2.145117
2026_10,12,sale,1,-0.873157,-0.185134,1.080883,2.195898
2026_10,13,sale,1,-1.593302,0.180824,1.381242,1.697952
2026_10,14,sale,1,-1.863551,0.131842,1.50459,1.116629
2026_10,15,sale,1,-1.52911,-0.318937,1.382785,0.446278
2026_10,16,sale,1,-0.707854,-0.851015,1.018278,0.029462
2026_10,17,sale,1,-0.236986,-0.88969,0.740889,-0.205785
2026_10,18,sale,1,-0.095819,-0.538581,0.586943,-0.206328
2026_10,19,sale,1,-0.066132,-0.235493,0.496879,0.043932
2026_10,20,sale,1,0.012632,-0.258336,0.444244,0.629852
2026_10,21,sale,1,0.190824,-0.53669,0.400861,1.554197
2026_10,22,sale,1,0.374462,-0.680248,0.434194,2.095737
2026_10,23,sale,1,0.35589,-0.544038,0.513966,1.770756
2026_10,24,sale,1,-4.6e-05,-0.350659,0.640712,0.879039
2026_10,25,sale,1,-0.366339,-0.41869,0.751183,0.244161
2026_10,26,sale,1,-0.500179,-0.741685,0.820194,0.084291
2026_10,27,sale,1,-0.571557,-0.849733,0.915916,0.057194
2026_10,28,sale,1,-0.941257,-0.714009,1.122993,0.000813
2026_10,29,sale,1,-1.283719,-0.472016,1.288357,-0.084987
2026_10,30,sale,1,-1.156219,-0.221773,1.201716,-0.107793
2026_10,31,sale,1,-0.562672,-0.007407,0.976965,-0.105164
2026_10,32,sale,1,0.404853,0.537592,1.089543,-0.377974
2026_10,33,sale,1,1.101984,0.880163,1.565333,-0.891021
2026_10,34,sale,1,1.24777,0.556671,1.905605,-1.10386
2026_10,35,sale,1,0.989842,-0.248821,1.739851,-0.469446
2026_10,36,sale,1,0.698966,-0.896727,1.177486,0.790975
2026_10,37,sale,1,0.531184,-0.75115,0.792722,1.60337
2026_10,38,sale,1,0.244957,-0.338554,0.719858,1.566228
2026_10,39,sale,1,-0.002929,-0.088771,0.849523,1.144941
2026_10,40,sale,1,0.034178,-0.064947,0.917449,1.165692
2026_10,41,sale,1,0.018711,-0.145676,0.894388,1.530551
2026_10,42,sale,1,-0.192268,-0.260271,0.859063,1.849345
2026_10,43,sale,1,-0.562937,-0.270282,0.913226,1.883107
2026_10,44,sale,1,-0.836402,-0.184833,1.002746,1.593434
2026_10,45,sale,1,-0.842354,-0.146377,1.075039,1.119916
2026_10,46,sale,1,-0.861408,-0.146706,1.188814,0.608939
2026_10,47,sale,1,-0.735221,-0.434765,1.257897,0.330022
2026_10,48,sale,1,-0.513014,-0.559587,1.288584,0.194711
2026_10,49,sale,1,-0.425723,-0.434071,1.275786,0.232046
2026_10,50,sale,1,-0.457308,-0.286802,1.215622,0.692263
2026_10,51,sale,1,-0.588546,-0.339477,1.120621,1.47578
2026_10,52,sale,1,-0.73493,-0.596716,1.100627,1.897566
2026_10,53,sale,1,-1.117879,-0.541889,1.283865,1.570833
2026_10,54,sale,1,-1.524193,-0.29482,1.468907,0.836926
2026_10,55,sale,1,-1.46616,-0.33986,1.534184,0.263366
2026_10,56,sale,1,-0.987267,-0.650635,1.430204,0.397183
2026_10,57,sale,1,-0.844164,-0.733771,1.361866,0.819002
2026_10,58,sale,1,-0.960168,-0.414149,1.296191,1.059323
2026_10,59,sale,1,-1.033231,0.011538,1.195999,0.878056
2026_10,60,sale,1,-1.039476,0.112884,1.139168,0.493152
2026_10,61,sale,1,-0.90223,-0.009065,1.050896,0.421551
2026_11,0,sale,1,0.442237,-1.095346,0.238389,1.634173
2026_11,1,sale,1,0.603654,-1.454584,0.275152,2.377996
2026_11,2,sale,1,0.416352,-1.302086,0.384719,2.829489
2026_11,3,sale,1,0.16772,-0.991901,0.504976,2.841717
2026_11,4,sale,1,-0.009641,-0.803414,0.633836,2.272764
2026_11,5,sale,1,-0.31182,-0.809449,0.887061,1.516474
2026_11,6,sale,1,-0.763802,-0.709687,1.158343,0.75403
2026_11,7,sale,1,-0.967773,-0.437582,1.245185,0.303764
2026_11,8,sale,1,-0.865295,-0.169532,1.192748,0.427935
2026_11,9,sale,1,-0.722918,-0.009531,1.208985,0.753535
2026_11,10,sale,1,-0.82294,-0.102017,1.37626,0.94686
2026_11,11,sale,1,-1.026014,-0.255211,1.462016,1.071166
2026_11,12,sale,1,-1.032005,-0.398774,1.329178,1.503731
2026_11,13,sale,1,-0.795745,-0.512038,1.08904,2.220847
2026_11,14,sale,1,-0.277047,-0.583342,0.86909,2.676888
2026_11,15,sale,1,0.106771,-0.634652,0.775179,2.667559
2026_11,16,sale,1,0.331198,-0.49703,0.825943,2.317553
2026_11,17,sale,1,0.691536,-0.672055,0.751963,2.529045
2026_11,18,sale,1,1.051309,-1.134331,0.545729,3.230337
2026_11,19,sale,1,1.062078,-1.488917,0.41048,3.514779
2026_11,20,sale,1,0.893229,-1.696273,0.391013,3.290245
2026_11,21,sale,1,0.654866,-1.618571,0.537927,2.347568
2026_11,22,sale,1,0.276669,-1.337751,0.672844,1.385443
2026_11,23,sale,1,-0.046257,-1.041065,0.760878,0.573354
2026_11,24,sale,1,-0.11571,-1.204509,0.891501,-0.091757
2026_11,25,sale,1,0.261022,-3.1005,1.518277,-1.552931
2026_11,26,sale,1,0.791738,-5.278373,2.320965,-3.257564
2026_11,27,sale,1,1.103976,-5.567133,2.598883,-3.746755
2026_11,28,sale,1,1.001872,-3.918428,2.143445,-2.687943
2026_11,29,sale,1,0.588,-1.785059,1.401968,-1.068183
2026_11,30,sale,1,0.298807,-0.76009,1.092289,-0.448864
2026_11,31,sale,1,0.368078,-0.094984,1.012015,-0.154829
2026_11,32,sale,1,0.521947,0.361871,0.992046,0.194856
2026_11,33,sale,1,0.595353,0.218464,0.879481,0.859983
2026_11,34,sale,1,0.577755,-0.157102,0.66583,1.554728
2026_11,35,sale,1,0.636811,-0.503525,0.478178,2.185181
2026_11,36,sale,1,0.72663,-0.659463,0.428618,2.54684
2026_11,37,sale,1,0.776709,-0.732803,0.44933,2.800332
2026_11,38,sale,1,0.798968,-0.649602,0.558294,2.648102
2026_11,39,sale,1,0.518966,-0.418968,0.787524,1.83398
2026_11,40,sale,1,-0.136449,-0.112633,1.051398,1.02904
2026_11,41,sale,1,-0.629614,0.107638,1.19849,0.594472
2026_11,42,sale,1,-0.262387,0.03022,1.202021,0.824441
2026_11,43,sale,1,0.57316,-0.277378,1.124268,1.088967
2026_11,44,sale,1,1.191567,-0.791233,0.905781,1.532914
2026_11,45,sale,1,1.159047,-1.13907,0.622296,2.032594
2026_11,46,sale,1,0.853357,-1.357464,0.41909,2.290876
2026_11,47,sale,1,0.619508,-1.369363,0.422875,2.287783
2026_11,48,sale,1,0.282398,-1.096006,0.548138,1.900149
2026_11,49,sale,1,-0.034466,-0.699864,0.69819,1.557194
2026_11,50,sale,1,-0.220445,-0.60204,0.794409,1.56667
2026_11,51,sale,1,-0.26929,-0.756153,0.823052,1.777262
2026_11,52,sale,1,-0.012793,-0.898722,0.716943,2.175339
2026_11,53,sale,1,0.287383,-0.74974,0.615201,2.122877
2026_11,54,sale,1,0.527797,-0.514329,0.660499,1.572202
2026_11,55,sale,1,0.550549,-0.425595,0.803763,0.967154
2026_11,56,sale,1,0.194774,-0.44882,0.954039,0.490947
2026_11,57,sale,1,0.060949,-0.719127,0.867047,0.855078
2026_11,58,sale,1,0.204635,-0.914165,0.628511,1.48373
2026_11,59,sale,1,0.496664,-0.916381,0.430568,2.132097
