act,n_turns,z_dim,mean_z_t,mean_z_t1,mean_shift,abs_shift,dominant_dim
new_offer,227,z_1,0.03158,0.03728,0.00569,0.00569,z_3
new_offer,227,z_2,-0.44189,-0.4129,0.02898,0.02898,z_3
new_offer,227,z_3,1.05088,1.09,0.03911,0.03911,z_3
new_offer,227,z_4,1.25675,1.21782,-0.03893,0.03893,z_3
repeat_offer,214,z_1,0.09397,0.05177,-0.0422,0.0422,z_1
repeat_offer,214,z_2,-0.31192,-0.31171,0.00021,0.00021,z_1
repeat_offer,214,z_3,1.16579,1.1831,0.01731,0.01731,z_1
repeat_offer,214,z_4,0.98807,0.98373,-0.00434,0.00434,z_1
push,114,z_1,-0.11857,-0.15946,-0.04089,0.04089,z_2
push,114,z_2,-0.39187,-0.43767,-0.0458,0.0458,z_2
push,114,z_3,1.28864,1.25924,-0.0294,0.0294,z_2
push,114,z_4,0.96521,0.98928,0.02407,0.02407,z_2
push_neutral,104,z_1,-0.1432,-0.16013,-0.01694,0.01694,z_2
push_neutral,104,z_2,-0.42204,-0.45942,-0.03737,0.03737,z_2
push_neutral,104,z_3,1.28851,1.26382,-0.02469,0.02469,z_2
push_neutral,104,z_4,0.99372,1.0112,0.01748,0.01748,z_2
comparison,99,z_1,0.22916,0.27091,0.04175,0.04175,z_1
comparison,99,z_2,-0.15176,-0.17477,-0.02301,0.02301,z_1
comparison,99,z_3,1.19789,1.21159,0.01369,0.01369,z_1
comparison,99,z_4,1.02155,1.00259,-0.01897,0.01897,z_1
comparison_price,93,z_1,0.24246,0.28594,0.04349,0.04349,z_1
comparison_price,93,z_2,-0.18945,-0.2069,-0.01745,0.01745,z_1
comparison_price,93,z_3,1.19131,1.20737,0.01607,0.01607,z_1
comparison_price,93,z_4,1.02949,1.00342,-0.02607,0.02607,z_1
end,437,z_1,-0.12865,-0.14767,-0.01902,0.01902,z_4
end,437,z_2,-0.51177,-0.53999,-0.02821,0.02821,z_4
end,437,z_3,1.23175,1.25194,0.02019,0.02019,z_4
end,437,z_4,1.01963,0.98177,-0.03786,0.03786,z_4
