conversation_id,turn,raw_outcome,outcome_binary,z_1,z_2,z_3,z_4
10057_56,0,no sale,0,1.014837,0.07504,0.703692,1.222614
10057_56,1,no sale,0,0.6394,-0.075481,0.567175,1.020524
10057_56,2,no sale,0,0.663726,-0.103241,0.624237,1.176565
10057_56,3,no sale,0,0.851491,-0.115371,0.741072,1.482788
10057_56,4,no sale,0,1.297921,-0.021404,1.090389,2.129434
10057_56,5,no sale,0,1.479329,-0.00401,1.231354,2.334817
10057_56,6,no sale,0,1.382155,-0.066474,1.162385,2.158059
10057_56,7,no sale,0,1.372023,-0.054562,1.22386,2.065635
10057_56,8,no sale,0,1.546979,-0.072549,1.685163,1.876918
10057_56,9,no sale,0,1.539436,-0.092734,2.188651,1.644489
10057_56,10,no sale,0,1.109622,-0.239424,2.142052,1.24337
10057_56,11,no sale,0,0.41465,-0.387389,1.784023,1.137303
10057_56,12,no sale,0,-1.434584,-0.543306,2.133542,1.02576
10057_56,13,no sale,0,-3.032301,-0.640712,2.840159,0.891205
10057_56,14,no sale,0,-3.075188,-0.668019,2.822229,0.979266
10057_56,15,no sale,0,-1.599891,-0.670328,1.913623,1.20003
10057_56,16,no sale,0,-0.070106,-0.706479,0.944905,1.439035
10521_24,0,no sale,0,1.067146,0.058483,0.70706,1.236328
10521_24,1,no sale,0,1.356977,-0.348119,0.629046,1.663524
10521_24,2,no sale,0,1.382408,-0.348797,0.73742,1.869585
10521_24,3,no sale,0,1.312414,-0.164649,0.952499,1.992586
10521_24,4,no sale,0,1.399191,0.1034,1.262111,2.225393
10521_24,5,no sale,0,1.537983,0.201861,1.468886,2.415905
10521_24,6,no sale,0,1.64465,0.19338,1.52355,2.507273
10521_24,7,no sale,0,1.662676,0.071346,1.518315,2.445165
10521_24,8,no sale,0,1.387096,-0.149878,1.671658,2.031566
10521_24,9,no sale,0,0.537859,-0.355588,2.061085,1.390536
10521_24,10,no sale,0,-0.486349,-0.508852,2.319028,0.784583
10521_24,11,no sale,0,-0.723939,-0.455031,2.238698,0.84379
