dataset,target,model,auc,auc_cv,auc_holdout,n_0,n_1
heddaya,M1,Logistic_L2,0.4722,0.3597,0.4722,120,45
heddaya,M1,Ridge_logit,0.5,0.3576,0.5,120,45
heddaya,M1,LASSO_logit,0.5694,0.4896,0.5694,120,45
heddaya,M2,Logistic_L2,0.4222,0.4854,0.4222,150,15
heddaya,M2,Ridge_logit,0.4444,0.4972,0.4444,150,15
heddaya,M2,LASSO_logit,0.5333,0.5326,0.5333,150,15
heddaya,M3,Logistic_L2,0.4,0.3807,0.4,115,50
heddaya,M3,Ridge_logit,0.387,0.3788,0.387,115,50
heddaya,M3,LASSO_logit,0.4565,0.388,0.4565,115,50
heddaya,M4,Logistic_L2,0.4632,0.6003,0.4632,82,83
heddaya,M4,Ridge_logit,0.4669,0.6017,0.4669,82,83
heddaya,M4,LASSO_logit,0.4118,0.6313,0.4118,82,83
heddaya,M5,Logistic_L2,0.7261,0.6132,0.7261,49,116
heddaya,M5,Ridge_logit,0.7391,0.6157,0.7391,49,116
heddaya,M5,LASSO_logit,0.7739,0.539,0.7739,49,116
a2a,M1,Logistic_L2,0.7222,0.6073,0.7222,14,31
a2a,M1,Ridge_logit,0.7222,0.6182,0.7222,14,31
a2a,M1,LASSO_logit,0.3333,0.7127,0.3333,14,31
a2a,M2,Logistic_L2,0.7,0.6533,0.7,24,21
a2a,M2,Ridge_logit,0.7,0.6563,0.7,24,21
a2a,M2,LASSO_logit,0.85,0.613,0.85,24,21
a2a,M3,Logistic_L2,0.25,0.2969,0.25,40,5
a2a,M3,Ridge_logit,0.25,0.3203,0.25,40,5
a2a,M3,LASSO_logit,0.75,0.4219,0.75,40,5
a2a,M4,Logistic_L2,0.6667,0.8731,0.6667,32,13
a2a,M4,Ridge_logit,0.6667,0.8808,0.6667,32,13
a2a,M4,LASSO_logit,0.5,0.85,0.5,32,13
