global_row_id,dataset_name,source_file,conversation_id,turn_index,speaker_id,role,start_time,end_time,duration_min,text,outcome,is_backchannel
heddaya_nego__13,heddaya_nego,heddaya-nego.csv,100,13,0,buyer,,,8.199,Um,,True
heddaya_nego__56,heddaya_nego,heddaya-nego.csv,101,29,1,seller,,,11.259,Um,,True
heddaya_nego__80,heddaya_nego,heddaya-nego.csv,104,7,1,seller,,,4.104,Yes,,True
heddaya_nego__94,heddaya_nego,heddaya-nego.csv,105,3,1,seller,,,10.104,Okay,,True
heddaya_nego__191,heddaya_nego,heddaya-nego.csv,131,47,1,seller,,,13.91,Yeah,,True
heddaya_nego__231,heddaya_nego,heddaya-nego.csv,149,3,0,buyer,,,4.312,Yes,,True
heddaya_nego__236,heddaya_nego,heddaya-nego.csv,149,8,1,seller,,,4.312,Um,,True
heddaya_nego__242,heddaya_nego,heddaya-nego.csv,149,14,1,seller,,,4.312,Okay,,True
heddaya_nego__344,heddaya_nego,heddaya-nego.csv,162,14,1,seller,,,5.109,Uh,,True
heddaya_nego__399,heddaya_nego,heddaya-nego.csv,183,0,1,seller,,,7.982,Okay,,True
heddaya_nego__411,heddaya_nego,heddaya-nego.csv,183,12,1,seller,,,7.982,Yeah,,True
heddaya_nego__559,heddaya_nego,heddaya-nego.csv,203,12,0,buyer,,,7.729,yeah,,True
heddaya_nego__573,heddaya_nego,heddaya-nego.csv,203,26,0,buyer,,,7.729,Uh,,True
heddaya_nego__687,heddaya_nego,heddaya-nego.csv,22,1,1,seller,,,4.547,Um,,True
heddaya_nego__741,heddaya_nego,heddaya-nego.csv,234,5,1,seller,,,4.979,Yeah,,True
heddaya_nego__789,heddaya_nego,heddaya-nego.csv,245,9,1,seller,,,4.937,Yeah,,True
heddaya_nego__829,heddaya_nego,heddaya-nego.csv,256,4,0,buyer,,,5.305,Yes,,True
heddaya_nego__831,heddaya_nego,heddaya-nego.csv,256,6,0,buyer,,,5.305,Yeah,,True
heddaya_nego__883,heddaya_nego,heddaya-nego.csv,267,1,1,seller,,,2.971,Yeah,,True
heddaya_nego__910,heddaya_nego,heddaya-nego.csv,271,5,1,seller,,,3.505,Mhm,,True
heddaya_nego__921,heddaya_nego,heddaya-nego.csv,272,7,0,buyer,,,12.53,Okay,,True
heddaya_nego__1005,heddaya_nego,heddaya-nego.csv,512,4,1,seller,,,4.68,Okay,,True
heddaya_nego__1026,heddaya_nego,heddaya-nego.csv,519,0,0,buyer,,,3.364,Mhm,,True
heddaya_nego__1032,heddaya_nego,heddaya-nego.csv,519,6,0,buyer,,,3.364,Mhm,,True
heddaya_nego__1041,heddaya_nego,heddaya-nego.csv,519,15,1,seller,,,3.364,hmm,,True
heddaya_nego__1046,heddaya_nego,heddaya-nego.csv,519,20,0,buyer,,,3.364,Mhm,,True
heddaya_nego__1048,heddaya_nego,heddaya-nego.csv,519,22,0,buyer,,,3.364,Okay,,True
heddaya_nego__1054,heddaya_nego,heddaya-nego.csv,519,28,0,buyer,,,3.364,Yeah,,True
heddaya_nego__1061,heddaya_nego,heddaya-nego.csv,519,35,1,seller,,,3.364,Okay,,True
heddaya_nego__1065,heddaya_nego,heddaya-nego.csv,519,39,1,seller,,,3.364,uh,,True
heddaya_nego__1066,heddaya_nego,heddaya-nego.csv,519,40,0,buyer,,,3.364,Mhm,,True
heddaya_nego__1078,heddaya_nego,heddaya-nego.csv,521,10,0,buyer,,,3.745,Yeah,,True
heddaya_nego__1080,heddaya_nego,heddaya-nego.csv,521,12,0,buyer,,,3.745,Mhm,,True
heddaya_nego__1084,heddaya_nego,heddaya-nego.csv,521,16,0,buyer,,,3.745,Mhm,,True
heddaya_nego__1087,heddaya_nego,heddaya-nego.csv,521,19,1,seller,,,3.745,Mhm,,True
heddaya_nego__1092,heddaya_nego,heddaya-nego.csv,521,24,0,buyer,,,3.745,Mhm,,True
heddaya_nego__1098,heddaya_nego,heddaya-nego.csv,521,30,0,buyer,,,3.745,Yeah,,True
heddaya_nego__1100,heddaya_nego,heddaya-nego.csv,521,32,0,buyer,,,3.745,Mhm,,True
heddaya_nego__1106,heddaya_nego,heddaya-nego.csv,521,38,0,buyer,,,3.745,Yeah,,True
heddaya_nego__1121,heddaya_nego,heddaya-nego.csv,523,8,1,seller,,,5.657,Mhm,,True
heddaya_nego__1124,heddaya_nego,heddaya-nego.csv,523,11,0,buyer,,,5.657,Um,,True
heddaya_nego__1135,heddaya_nego,heddaya-nego.csv,523,22,1,seller,,,5.657,Uh,,True
heddaya_nego__1147,heddaya_nego,heddaya-nego.csv,525,9,1,seller,,,5.948,okay,,True
heddaya_nego__1148,heddaya_nego,heddaya-nego.csv,525,10,0,buyer,,,5.948,Uh,,True
heddaya_nego__1149,heddaya_nego,heddaya-nego.csv,525,11,1,seller,,,5.948,Yeah,,True
heddaya_nego__1158,heddaya_nego,heddaya-nego.csv,525,20,0,buyer,,,5.948,Right,,True
heddaya_nego__1160,heddaya_nego,heddaya-nego.csv,525,22,0,buyer,,,5.948,Um,,True
heddaya_nego__1177,heddaya_nego,heddaya-nego.csv,525,39,1,seller,,,5.948,Yes,,True
heddaya_nego__1179,heddaya_nego,heddaya-nego.csv,525,41,1,seller,,,5.948,Yeah,,True
heddaya_nego__1181,heddaya_nego,heddaya-nego.csv,525,43,1,seller,,,5.948,Yeah,,True
heddaya_nego__1183,heddaya_nego,heddaya-nego.csv,525,45,1,seller,,,5.948,Yeah,,True
heddaya_nego__1185,heddaya_nego,heddaya-nego.csv,525,47,1,seller,,,5.948,Mhm,,True
heddaya_nego__1208,heddaya_nego,heddaya-nego.csv,525,70,0,buyer,,,5.948,Um,,True
heddaya_nego__1219,heddaya_nego,heddaya-nego.csv,525,81,1,seller,,,5.948,Mhm,,True
heddaya_nego__1232,heddaya_nego,heddaya-nego.csv,525,94,0,buyer,,,5.948,Yeah,,True
heddaya_nego__1243,heddaya_nego,heddaya-nego.csv,525,105,1,seller,,,5.948,Uh,,True
heddaya_nego__1259,heddaya_nego,heddaya-nego.csv,525,121,1,seller,,,5.948,okay,,True
heddaya_nego__1279,heddaya_nego,heddaya-nego.csv,525,141,1,seller,,,5.948,Yeah,,True
heddaya_nego__1293,heddaya_nego,heddaya-nego.csv,525,155,1,seller,,,5.948,Yeah,,True
heddaya_nego__1296,heddaya_nego,heddaya-nego.csv,525,158,0,buyer,,,5.948,Yeah,,True
heddaya_nego__1297,heddaya_nego,heddaya-nego.csv,525,159,1,seller,,,5.948,yeah,,True
heddaya_nego__1303,heddaya_nego,heddaya-nego.csv,532,4,0,buyer,,,7.432,Yeah,,True
heddaya_nego__1308,heddaya_nego,heddaya-nego.csv,532,9,1,seller,,,7.432,Yeah,,True
heddaya_nego__1328,heddaya_nego,heddaya-nego.csv,532,29,1,seller,,,7.432,Mhm,,True
heddaya_nego__1330,heddaya_nego,heddaya-nego.csv,532,31,1,seller,,,7.432,Yeah,,True
heddaya_nego__1333,heddaya_nego,heddaya-nego.csv,532,34,0,buyer,,,7.432,Mhm,,True
heddaya_nego__1338,heddaya_nego,heddaya-nego.csv,532,39,1,seller,,,7.432,Mhm,,True
heddaya_nego__1340,heddaya_nego,heddaya-nego.csv,532,41,1,seller,,,7.432,Yes,,True
heddaya_nego__1344,heddaya_nego,heddaya-nego.csv,532,45,1,seller,,,7.432,Um,,True
heddaya_nego__1352,heddaya_nego,heddaya-nego.csv,532,53,1,seller,,,7.432,Yeah,,True
heddaya_nego__1356,heddaya_nego,heddaya-nego.csv,532,57,1,seller,,,7.432,Mhm,,True
heddaya_nego__1359,heddaya_nego,heddaya-nego.csv,532,60,0,buyer,,,7.432,Okay,,True
heddaya_nego__1368,heddaya_nego,heddaya-nego.csv,532,69,1,seller,,,7.432,Mhm,,True
heddaya_nego__1377,heddaya_nego,heddaya-nego.csv,533,3,1,seller,,,3.855,okay,,True
heddaya_nego__1383,heddaya_nego,heddaya-nego.csv,533,9,1,seller,,,3.855,Yeah,,True
heddaya_nego__1384,heddaya_nego,heddaya-nego.csv,533,10,0,buyer,,,3.855,Yeah,,True
heddaya_nego__1386,heddaya_nego,heddaya-nego.csv,533,12,0,buyer,,,3.855,Mhm,,True
heddaya_nego__1388,heddaya_nego,heddaya-nego.csv,533,14,0,buyer,,,3.855,Yeah,,True
heddaya_nego__1390,heddaya_nego,heddaya-nego.csv,533,16,0,buyer,,,3.855,Mhm,,True
heddaya_nego__1394,heddaya_nego,heddaya-nego.csv,533,20,0,buyer,,,3.855,Okay,,True
heddaya_nego__1400,heddaya_nego,heddaya-nego.csv,533,26,0,buyer,,,3.855,Yeah,,True
heddaya_nego__1403,heddaya_nego,heddaya-nego.csv,533,29,1,seller,,,3.855,Thanks,,True
heddaya_nego__1414,heddaya_nego,heddaya-nego.csv,535,4,1,seller,,,14.482,yep,,True
heddaya_nego__1416,heddaya_nego,heddaya-nego.csv,535,6,1,seller,,,14.482,yep,,True
heddaya_nego__1418,heddaya_nego,heddaya-nego.csv,535,8,1,seller,,,14.482,Uh,,True
heddaya_nego__1426,heddaya_nego,heddaya-nego.csv,535,16,1,seller,,,14.482,Mhm,,True
heddaya_nego__1428,heddaya_nego,heddaya-nego.csv,535,18,1,seller,,,14.482,Yeah,,True
heddaya_nego__1430,heddaya_nego,heddaya-nego.csv,535,20,1,seller,,,14.482,Yeah,,True
heddaya_nego__1434,heddaya_nego,heddaya-nego.csv,535,24,1,seller,,,14.482,okay,,True
heddaya_nego__1436,heddaya_nego,heddaya-nego.csv,535,26,1,seller,,,14.482,Um,,True
heddaya_nego__1440,heddaya_nego,heddaya-nego.csv,535,30,1,seller,,,14.482,Yeah,,True
heddaya_nego__1442,heddaya_nego,heddaya-nego.csv,535,32,1,seller,,,14.482,yeah,,True
