conversation_id,turn,raw_outcome,outcome_binary,z_1,z_2,z_3,z_4
100,0,,,-0.136897,-0.451093,0.892423,0.894073
100,1,,,-0.227479,-0.498703,1.226556,1.113179
100,2,,,-0.480224,-0.815432,1.64968,1.571735
100,3,,,-0.506698,-0.995101,2.12871,2.016808
100,4,,,-0.316846,-1.221235,2.739294,2.597094
100,5,,,-0.286834,-1.58103,3.223016,3.212613
100,6,,,-0.446562,-1.821593,3.231855,3.446071
100,7,,,-0.549878,-1.651042,2.690278,3.070238
100,8,,,-0.597526,-1.252433,2.178417,2.501452
100,9,,,-0.760383,-0.827273,2.343948,2.069908
100,10,,,-1.786355,-0.299573,3.136651,1.190259
100,11,,,-2.710559,0.017147,3.652042,0.417299
100,12,,,-2.657007,-0.036053,3.565326,0.443723
100,13,,,-1.809938,-0.590005,3.281353,1.568626
100,14,,,-1.130763,-1.325274,3.128151,2.899196
100,15,,,-1.199259,-1.820939,3.108764,3.373703
100,16,,,-1.268514,-2.008266,2.842569,3.238474
100,17,,,-1.072853,-1.89542,2.592793,2.769343
100,18,,,-0.475671,-2.085166,2.513788,2.041361
100,19,,,0.409344,-2.339089,2.362208,1.18271
100,20,,,1.681667,-2.669632,2.073723,-0.072611
100,21,,,2.376011,-2.712178,1.791104,-0.868167
100,22,,,1.994193,-2.194848,1.584419,-0.664075
100,23,,,1.023199,-1.287003,1.477341,0.143088
100,24,,,0.055117,-0.54298,1.513809,1.078145
100,25,,,-0.240406,-0.474734,1.692815,1.432039
101,0,,,-0.871601,-1.010424,1.611321,1.525528
101,1,,,-1.235655,-1.50563,2.211816,2.249352
101,2,,,-1.139775,-1.510989,2.174044,2.283513
101,3,,,-0.978264,-1.37309,2.02124,2.137264
101,4,,,-0.936132,-1.319374,1.970677,2.092882
101,5,,,-0.840964,-1.206619,1.808051,1.935389
101,6,,,-0.608984,-0.980972,1.484197,1.637716
101,7,,,-0.431912,-0.820014,1.252235,1.45095
101,8,,,-0.308318,-0.734457,1.135253,1.384061
101,9,,,-0.307755,-0.789081,1.182898,1.451901
101,10,,,-0.204452,-0.77107,1.146101,1.302734
101,11,,,0.131117,-0.81484,1.043571,0.847506
101,12,,,1.30245,-1.567414,1.199389,-0.246829
101,13,,,2.449906,-2.416539,1.491188,-1.184115
101,14,,,2.510548,-2.633659,1.871613,-1.160726
101,15,,,1.361512,-2.114857,2.13745,-0.10209
101,16,,,-0.075004,-1.47982,2.25688,1.072139
101,17,,,-0.651749,-1.219089,2.195331,1.439012
101,18,,,-0.645255,-0.952978,1.959868,1.536345
101,19,,,-0.223335,-0.831752,1.8859,1.495949
101,20,,,0.105028,-0.86532,1.980249,1.604354
101,21,,,0.179112,-0.805282,2.050145,1.6818
101,22,,,0.231225,-0.514046,1.954466,1.666332
101,23,,,0.319554,-0.100336,1.791096,1.519849
101,24,,,0.514714,0.488172,1.84937,1.210766
101,25,,,0.463686,0.737893,2.054658,1.116336
101,26,,,0.014271,0.284301,2.26367,1.421882
101,27,,,-0.70621,-0.795697,2.512866,2.2011
101,28,,,-1.288143,-1.797424,2.666099,2.9424
101,29,,,-1.37838,-2.032258,2.665428,3.107453
101,30,,,-1.261638,-1.94623,2.506345,2.939802
101,31,,,-1.144133,-1.746994,2.365302,2.663153
101,32,,,-1.044569,-1.592841,2.269568,2.480967
101,33,,,-0.897124,-1.530864,2.177028,2.39544
101,34,,,-0.597888,-1.558397,2.16018,2.260111
101,35,,,-0.269488,-1.512718,2.331751,2.198111
101,36,,,-0.283115,-1.537487,2.648837,2.445877
101,37,,,-0.494367,-1.537078,2.657245,2.65356
101,38,,,-0.742538,-1.543704,2.356289,2.625692
101,39,,,-0.868729,-1.55063,2.043659,2.325818
101,40,,,-0.83007,-1.485533,1.902311,2.037067
101,41,,,-0.621282,-1.662067,1.977373,1.788787
101,42,,,0.425241,-2.371648,2.249094,0.979427
101,43,,,1.593442,-2.912565,2.64084,0.030226
101,44,,,2.235455,-2.992263,2.983407,-0.52289
104,0,,,-0.107098,-0.362398,0.807559,0.79123
104,1,,,-0.122432,-0.361743,0.92475,0.869817
104,2,,,-0.372997,-0.710961,1.273578,1.277413
104,3,,,-0.805706,-1.201186,1.766519,1.795118
104,4,,,-1.233724,-1.657164,2.251986,2.306438
104,5,,,-1.402221,-1.968476,2.56578,2.784261
104,6,,,-1.303334,-2.077152,2.645303,3.095562
104,7,,,-1.040852,-1.911467,2.452138,2.98568
104,8,,,-0.674537,-1.542405,2.045539,2.57839
104,9,,,-0.362124,-1.078969,1.616798,1.992102
104,10,,,-0.134887,-0.67551,1.435127,1.618445
104,11,,,-0.088792,-0.465264,1.443222,1.475254
104,12,,,-0.152102,-0.462761,1.442916,1.410673
104,13,,,-0.307131,-0.646574,1.449235,1.376488
104,14,,,-0.743976,-1.105355,1.954184,1.531833
104,15,,,-1.29781,-1.675034,2.922256,2.131779
104,16,,,-1.68402,-2.110016,3.694725,2.753581
105,0,,,-0.149879,-0.517978,0.930412,1.012797
105,1,,,-0.234998,-0.592695,1.225965,1.262627
105,2,,,-0.770564,-0.879383,1.769939,1.524834
105,3,,,-1.090343,-1.151689,2.084384,1.775961
105,4,,,-1.724136,-1.588446,2.688049,2.106872
105,5,,,-1.603196,-1.840197,2.677337,2.408381
105,6,,,-1.281795,-2.106179,2.639662,2.694368
105,7,,,-0.907905,-2.70154,3.14339,2.707429
105,8,,,-0.487208,-3.360288,3.736378,2.748202
105,9,,,-0.264143,-3.821037,4.17668,2.854974
105,10,,,-0.496613,-3.865034,4.273227,3.157802
105,11,,,-1.025251,-3.538558,4.092314,3.526295
105,12,,,-1.316466,-2.977605,3.652626,3.548808
105,13,,,-1.185754,-2.179846,2.910425,3.226525
105,14,,,-0.664225,-1.451986,2.148224,2.506267
105,15,,,-0.371037,-1.037864,1.689511,2.037724
105,16,,,-0.365815,-0.954343,1.593049,1.922306
124,0,,,-0.567848,-0.939308,1.42613,1.376548
124,1,,,-0.849803,-1.470163,2.168472,2.185374
124,2,,,-0.878029,-1.830854,2.621012,2.632601
