act,n_turns,z_dim,mean_z_t,mean_z_t1,mean_shift,abs_shift,dominant_dim
new_offer,848,z_1,-0.39895,-0.34965,0.0493,0.0493,z_1
new_offer,848,z_2,-1.0073,-1.00608,0.00122,0.00122,z_1
new_offer,848,z_3,2.15116,2.17778,0.02663,0.02663,z_1
new_offer,848,z_4,1.54636,1.57132,0.02496,0.02496,z_1
repeat_offer,604,z_1,-0.13003,-0.11598,0.01405,0.01405,z_2
repeat_offer,604,z_2,-0.75544,-0.77108,-0.01564,0.01564,z_2
repeat_offer,604,z_3,2.0758,2.07339,-0.00241,0.00241,z_2
repeat_offer,604,z_4,1.36801,1.37245,0.00444,0.00444,z_2
push,600,z_1,-0.46175,-0.42363,0.03812,0.03812,z_1
push,600,z_2,-0.93346,-0.96342,-0.02996,0.02996,z_1
push,600,z_3,2.20547,2.22496,0.0195,0.0195,z_1
push,600,z_4,1.55294,1.56172,0.00879,0.00879,z_1
push_constraint,72,z_1,-0.31901,-0.25213,0.06688,0.06688,z_1
push_constraint,72,z_2,-0.79383,-0.76857,0.02526,0.02526,z_1
push_constraint,72,z_3,2.27211,2.24509,-0.02702,0.02702,z_1
push_constraint,72,z_4,1.22647,1.20716,-0.0193,0.0193,z_1
push_disparagement,17,z_1,-0.62902,-0.60131,0.02771,0.02771,z_4
push_disparagement,17,z_2,-1.45599,-1.31469,0.14129,0.14129,z_4
push_disparagement,17,z_3,2.76914,2.75673,-0.01241,0.01241,z_4
push_disparagement,17,z_4,1.84353,1.60224,-0.24129,0.24129,z_4
push_neutral,511,z_1,-0.47629,-0.44188,0.03441,0.03441,z_2
push_neutral,511,z_2,-0.93576,-0.97919,-0.04343,0.04343,z_2
push_neutral,511,z_3,2.17732,2.20444,0.02711,0.02711,z_2
push_neutral,511,z_4,1.58927,1.61033,0.02106,0.02106,z_2
comparison,1019,z_1,-0.42371,-0.39891,0.0248,0.0248,z_4
comparison,1019,z_2,-0.91809,-0.93266,-0.01457,0.01457,z_4
comparison,1019,z_3,2.14464,2.14984,0.0052,0.0052,z_4
comparison,1019,z_4,1.61906,1.65186,0.0328,0.0328,z_4
comparison_price,534,z_1,-0.40406,-0.37951,0.02455,0.02455,z_4
comparison_price,534,z_2,-0.81539,-0.83329,-0.01791,0.01791,z_4
comparison_price,534,z_3,2.0979,2.10134,0.00345,0.00345,z_4
comparison_price,534,z_4,1.48847,1.53549,0.04702,0.04702,z_4
comparison_quality,299,z_1,-0.41423,-0.37707,0.03716,0.03716,z_1
comparison_quality,299,z_2,-0.94971,-0.95111,-0.00141,0.00141,z_1
comparison_quality,299,z_3,2.05993,2.09656,0.03663,0.03663,z_1
comparison_quality,299,z_4,1.72247,1.71253,-0.00994,0.00994,z_1
comparison_mixed,186,z_1,-0.49535,-0.48972,0.00564,0.00564,z_4
comparison_mixed,186,z_2,-1.16213,-1.18829,-0.02616,0.02616,z_4
comparison_mixed,186,z_3,2.41503,2.37471,-0.04032,0.04032,z_4
comparison_mixed,186,z_4,1.82771,1.8884,0.06069,0.06069,z_4
allowance,143,z_1,-0.45251,-0.46169,-0.00918,0.00918,z_4
allowance,143,z_2,-0.9544,-0.98242,-0.02802,0.02802,z_4
allowance,143,z_3,2.23283,2.2586,0.02576,0.02576,z_4
allowance,143,z_4,1.59272,1.62316,0.03043,0.03043,z_4
end,397,z_1,-0.51636,-0.50434,0.01202,0.01202,z_4
end,397,z_2,-1.03094,-1.06107,-0.03013,0.03013,z_4
end,397,z_3,2.24405,2.25161,0.00756,0.00756,z_4
end,397,z_4,1.62865,1.6655,0.03685,0.03685,z_4
