emotion,a2a
admiration,0.3594144997310324
gratitude,0.3030846890103151
curiosity,0.2879926919664225
approval,0.14543150285141057
optimism,0.07591781980987394
excitement,0.04402448405382953
desire,0.03531320936608644
joy,0.0336913124234994
confusion,0.031073838947815124
caring,0.02951735833322329
disapproval,0.019768885562575028
love,0.01676278893032413
disappointment,0.012357141210138057
fear,0.0091311533114976
sadness,0.00886219798877551
realization,0.008480972808313324
surprise,0.007727109749357743
annoyance,0.005975778410084033
relief,0.004547859946566627
remorse,0.003329947600747299
pride,0.002945976149188776
amusement,0.002155827469819928
anger,0.0020423184112034814
nervousness,0.001822422903835234
disgust,0.0013834694780612245
grief,0.0013625811648109243
embarrassment,0.0007842796505012005
