dataset,emotion,buyer_mean,seller_mean,delta_buyer_minus_seller,abs_delta,p_value,significant_p05
a2a,admiration,0.30021,0.43395,-0.13374,0.13374,0.0,yes
a2a,amusement,0.00261,0.00159,0.00102,0.00102,0.0,yes
a2a,anger,0.00227,0.00175,0.00052,0.00052,0.0,yes
a2a,annoyance,0.00654,0.00527,0.00127,0.00127,0.0,yes
a2a,approval,0.11202,0.1875,-0.07548,0.07548,0.0,yes
a2a,caring,0.02503,0.03516,-0.01013,0.01013,0.0002,yes
a2a,confusion,0.03248,0.0293,0.00319,0.00319,0.0174,yes
a2a,curiosity,0.33206,0.23251,0.09954,0.09954,0.0,yes
a2a,desire,0.04691,0.02072,0.02619,0.02619,0.0,yes
a2a,disappointment,0.01617,0.00755,0.00862,0.00862,0.0,yes
a2a,disapproval,0.02232,0.01656,0.00576,0.00576,0.0049,yes
a2a,disgust,0.00169,0.001,0.00068,0.00068,0.0,yes
a2a,embarrassment,0.00096,0.00056,0.0004,0.0004,0.0,yes
a2a,excitement,0.05805,0.02637,0.03168,0.03168,0.0,yes
a2a,fear,0.01494,0.00181,0.01313,0.01313,0.0,yes
a2a,gratitude,0.36673,0.22295,0.14378,0.14378,0.0,yes
a2a,grief,0.00158,0.00109,0.00048,0.00048,0.0001,yes
a2a,joy,0.02626,0.04305,-0.01679,0.01679,0.0,yes
a2a,love,0.02106,0.01135,0.00971,0.00971,0.0,yes
a2a,nervousness,0.00243,0.00105,0.00138,0.00138,0.0,yes
a2a,optimism,0.0922,0.05541,0.03679,0.03679,0.0,yes
a2a,pride,0.0028,0.00313,-0.00032,0.00032,0.0036,yes
a2a,realization,0.00874,0.00816,0.00058,0.00058,0.0163,yes
a2a,relief,0.00421,0.00498,-0.00077,0.00077,0.0003,yes
a2a,remorse,0.00377,0.00277,0.001,0.001,0.1554,no
a2a,sadness,0.01029,0.00706,0.00323,0.00323,0.1348,no
a2a,surprise,0.01076,0.00391,0.00685,0.00685,0.0,yes
