dataset,emotion,mean_activation,activation_rank,std_activation,pct_nonzero
a2a,admiration,0.35941,1,0.31356,100.0
a2a,amusement,0.00216,22,0.0016,100.0
a2a,anger,0.00204,23,0.00125,100.0
a2a,annoyance,0.00598,18,0.00693,100.0
a2a,approval,0.14543,4,0.15879,100.0
a2a,caring,0.02952,10,0.07864,100.0
a2a,confusion,0.03107,9,0.03864,100.0
a2a,curiosity,0.28799,3,0.28194,100.0
a2a,desire,0.03531,7,0.07239,100.0
a2a,disappointment,0.01236,13,0.0508,100.0
a2a,disapproval,0.01977,11,0.06018,100.0
a2a,disgust,0.00138,25,0.00124,100.0
a2a,embarrassment,0.00078,27,0.00082,100.0
a2a,excitement,0.04402,6,0.06837,100.0
a2a,fear,0.00913,14,0.07246,100.0
a2a,gratitude,0.30308,2,0.39754,100.0
a2a,grief,0.00136,26,0.00364,100.0
a2a,joy,0.03369,8,0.08901,100.0
a2a,love,0.01676,12,0.05097,100.0
a2a,nervousness,0.00182,24,0.00589,100.0
a2a,optimism,0.07592,5,0.12527,100.0
a2a,pride,0.00295,21,0.0032,100.0
a2a,realization,0.00848,16,0.00716,100.0
a2a,relief,0.00455,19,0.0058,100.0
a2a,remorse,0.00333,20,0.01911,100.0
a2a,sadness,0.00886,15,0.06286,100.0
a2a,surprise,0.00773,17,0.01308,100.0
