outcome,feature,n,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson_r,dataset
outcome_binary,embarrassment_mean,388,-0.6541,0.0,-0.6769,0.0,0.6541,a2a
outcome_binary,annoyance_mean,388,-0.6379,0.0,-0.6955,0.0,0.6379,a2a
outcome_binary,disgust_mean,388,-0.6057,0.0,-0.6869,0.0,0.6057,a2a
outcome_binary,buyer_embarrassment_mean,388,-0.6055,0.0,-0.6256,0.0,0.6055,a2a
outcome_binary,annoyance_std,388,-0.5505,0.0,-0.6355,0.0,0.5505,a2a
outcome_binary,buyer_annoyance_mean,388,-0.5429,0.0,-0.6593,0.0,0.5429,a2a
outcome_binary,disapproval_mean,388,-0.5358,0.0,-0.6652,0.0,0.5358,a2a
outcome_binary,annoyance_max,388,-0.5177,0.0,-0.6273,0.0,0.5177,a2a
outcome_binary,anger_mean,388,-0.514,0.0,-0.5246,0.0,0.514,a2a
outcome_binary,seller_annoyance_mean,382,-0.5004,0.0,-0.4932,0.0,0.5004,a2a
outcome_binary,disapproval_std,388,-0.4914,0.0,-0.6353,0.0,0.4914,a2a
outcome_binary,buyer_annoyance_std,388,-0.4873,0.0,-0.6055,0.0,0.4873,a2a
outcome_binary,buyer_disgust_mean,388,-0.4839,0.0,-0.6115,0.0,0.4839,a2a
outcome_binary,realization_mean,388,-0.4796,0.0,-0.5716,0.0,0.4796,a2a
outcome_binary,disapproval_max,388,-0.4777,0.0,-0.6242,0.0,0.4777,a2a
outcome_binary,disappointment_min,388,-0.4773,0.0,-0.4246,0.0,0.4773,a2a
outcome_binary,disapproval_sum,388,-0.4722,0.0,-0.583,0.0,0.4722,a2a
outcome_binary,buyer_embarrassment_std,388,-0.4715,0.0,-0.5072,0.0,0.4715,a2a
outcome_binary,buyer_realization_mean,388,-0.4678,0.0,-0.5891,0.0,0.4678,a2a
outcome_binary,disappointment_mean,388,-0.4644,0.0,-0.671,0.0,0.4644,a2a
outcome_binary,annoyance_sum,388,-0.4541,0.0,-0.4482,0.0,0.4541,a2a
outcome_binary,disgust_min,388,-0.454,0.0,-0.4182,0.0,0.454,a2a
outcome_binary,seller_disgust_mean,382,-0.4479,0.0,-0.3977,0.0,0.4479,a2a
outcome_binary,sadness_min,388,-0.446,0.0,-0.4109,0.0,0.446,a2a
outcome_binary,grief_mean,388,-0.4455,0.0,-0.4898,0.0,0.4455,a2a
outcome_binary,buyer_disapproval_mean,388,-0.4432,0.0,-0.646,0.0,0.4432,a2a
outcome_binary,embarrassment_sum,388,-0.4423,0.0,-0.507,0.0,0.4423,a2a
outcome_binary,embarrassment_std,388,-0.4422,0.0,-0.5384,0.0,0.4422,a2a
outcome_binary,seller_annoyance_std,375,-0.4398,0.0,-0.4464,0.0,0.4398,a2a
outcome_binary,embarrassment_min,388,-0.4372,0.0,-0.4132,0.0,0.4372,a2a
outcome_binary,buyer_realization_std,388,-0.4275,0.0,-0.5601,0.0,0.4275,a2a
outcome_binary,disappointment_sum,388,-0.4243,0.0,-0.611,0.0,0.4243,a2a
outcome_binary,embarrassment_max,388,-0.4209,0.0,-0.5551,0.0,0.4209,a2a
outcome_binary,buyer_disapproval_std,388,-0.4159,0.0,-0.6237,0.0,0.4159,a2a
outcome_binary,annoyance_min,388,-0.413,0.0,-0.4091,0.0,0.413,a2a
outcome_binary,seller_disapproval_std,375,-0.405,0.0,-0.4734,0.0,0.405,a2a
outcome_binary,seller_disapproval_mean,382,-0.4044,0.0,-0.4823,0.0,0.4044,a2a
outcome_binary,disgust_max,388,-0.3965,0.0,-0.5678,0.0,0.3965,a2a
outcome_binary,disappointment_std,388,-0.3959,0.0,-0.6332,0.0,0.3959,a2a
outcome_binary,buyer_disappointment_mean,388,-0.3918,0.0,-0.6466,0.0,0.3918,a2a
outcome_binary,realization_std,388,-0.3855,0.0,-0.5528,0.0,0.3855,a2a
outcome_binary,buyer_grief_mean,388,-0.3777,0.0,-0.4389,0.0,0.3777,a2a
outcome_binary,disappointment_max,388,-0.3771,0.0,-0.6226,0.0,0.3771,a2a
outcome_binary,disgust_std,388,-0.3714,0.0,-0.5008,0.0,0.3714,a2a
outcome_binary,buyer_anger_mean,388,-0.3676,0.0,-0.3681,0.0,0.3676,a2a
outcome_binary,buyer_disappointment_std,388,-0.3551,0.0,-0.6177,0.0,0.3551,a2a
outcome_binary,sadness_mean,388,-0.3544,0.0,-0.623,0.0,0.3544,a2a
outcome_binary,seller_anger_mean,382,-0.3513,0.0,-0.3072,0.0,0.3513,a2a
outcome_binary,joy_sum,388,0.3468,0.0,0.4091,0.0,0.3468,a2a
outcome_binary,realization_max,388,-0.3408,0.0,-0.5069,0.0,0.3408,a2a
outcome_binary,approval_mean,388,0.3404,0.0,0.3394,0.0,0.3404,a2a
outcome_binary,disgust_sum,388,-0.3404,0.0,-0.372,0.0,0.3404,a2a
outcome_binary,seller_disgust_std,375,-0.3402,0.0,-0.2535,0.0,0.3402,a2a
outcome_binary,remorse_min,388,-0.3401,0.0,-0.3275,0.0,0.3401,a2a
outcome_binary,anger_min,388,-0.3383,0.0,-0.2969,0.0,0.3383,a2a
outcome_binary,anger_max,388,-0.3298,0.0,-0.3003,0.0,0.3298,a2a
outcome_binary,buyer_joy_mean,388,0.3214,0.0,0.4729,0.0,0.3214,a2a
outcome_binary,seller_embarrassment_mean,382,-0.3201,0.0,-0.4096,0.0,0.3201,a2a
outcome_binary,seller_disappointment_mean,382,-0.3147,0.0,-0.4205,0.0,0.3147,a2a
outcome_binary,joy_mean,388,0.3132,0.0,0.3728,0.0,0.3132,a2a
outcome_binary,buyer_sadness_mean,388,-0.3119,0.0,-0.6049,0.0,0.3119,a2a
outcome_binary,joy_max,388,0.3062,0.0,0.3407,0.0,0.3062,a2a
outcome_binary,disapproval_min,388,-0.2985,0.0,-0.3084,0.0,0.2985,a2a
outcome_binary,grief_min,388,-0.2974,0.0,-0.2435,0.0,0.2974,a2a
outcome_binary,buyer_disgust_std,388,-0.2964,0.0,-0.387,0.0,0.2964,a2a
outcome_binary,excitement_sum,388,0.2963,0.0,0.3303,0.0,0.2963,a2a
outcome_binary,buyer_joy_std,388,0.292,0.0,0.2067,0.0,0.292,a2a
outcome_binary,seller_disappointment_std,375,-0.2881,0.0,-0.446,0.0,0.2881,a2a
outcome_binary,joy_std,388,0.2866,0.0,0.3211,0.0,0.2866,a2a
outcome_binary,realization_sum,388,-0.2812,0.0,-0.2481,0.0,0.2812,a2a
outcome_binary,approval_max,388,0.2768,0.0,0.2755,0.0,0.2768,a2a
outcome_binary,seller_realization_mean,382,-0.2722,0.0,-0.3058,0.0,0.2722,a2a
outcome_binary,buyer_approval_std,388,0.2672,0.0,0.315,0.0,0.2672,a2a
outcome_binary,grief_std,388,-0.2655,0.0,-0.3794,0.0,0.2655,a2a
outcome_binary,seller_grief_mean,382,-0.2621,0.0,-0.2194,0.0,0.2621,a2a
outcome_binary,approval_std,388,0.2616,0.0,0.2684,0.0,0.2616,a2a
outcome_binary,approval_sum,388,0.2589,0.0,0.2842,0.0,0.2589,a2a
outcome_binary,grief_sum,388,-0.2565,0.0,-0.3239,0.0,0.2565,a2a
outcome_binary,buyer_approval_mean,388,0.2543,0.0,0.3191,0.0,0.2543,a2a
outcome_binary,sadness_std,388,-0.2541,0.0,-0.5277,0.0,0.2541,a2a
outcome_binary,sadness_sum,388,-0.2526,0.0,-0.497,0.0,0.2526,a2a
outcome_binary,seller_anger_std,375,-0.2511,0.0,-0.2128,0.0,0.2511,a2a
outcome_binary,buyer_sadness_std,388,-0.2471,0.0,-0.5092,0.0,0.2471,a2a
outcome_binary,joy_min,388,0.2458,0.0,0.2842,0.0,0.2458,a2a
outcome_binary,buyer_grief_std,388,-0.2404,0.0,-0.3145,0.0,0.2404,a2a
outcome_binary,grief_max,388,-0.2336,0.0,-0.4034,0.0,0.2336,a2a
outcome_binary,fear_min,388,-0.2299,0.0,-0.2173,0.0,0.2299,a2a
outcome_binary,seller_realization_std,375,-0.2275,0.0,-0.3215,0.0,0.2275,a2a
outcome_binary,buyer_curiosity_std,388,-0.2248,0.0,-0.201,0.0001,0.2248,a2a
