emotion,dealerships,emaad,heddaya
admiration,0.0082,0.0058,0.0111
amusement,0.0,0.0,0.0
anger,0.0008,0.0,0.0
annoyance,0.0069,0.0,0.0009
approval,0.0001,0.004,0.0088
caring,0.0002,0.0,0.0001
confusion,0.0048,0.0248,0.0031
curiosity,0.0033,0.1009,0.0
desire,0.0004,0.0001,0.0032
disappointment,0.0005,0.0001,0.002
disapproval,0.0008,0.0007,0.0004
disgust,0.0,0.0119,0.0021
embarrassment,0.0,0.0028,0.0008
excitement,0.0021,0.001,0.0163
fear,0.0,0.0,0.0002
gratitude,0.0207,0.0645,0.0012
grief,0.0004,0.0001,0.0011
joy,0.0009,0.0006,0.0208
love,0.0059,0.0,0.0053
nervousness,0.0002,0.0001,0.0
optimism,0.009,0.0001,0.0046
pride,0.0082,0.0008,0.0104
realization,0.0001,0.0035,0.0018
relief,0.0007,0.0007,0.0047
remorse,0.0003,0.0,0.0004
sadness,0.0004,0.0,0.0006
surprise,0.0001,0.0003,0.0
