emotion,adf_stat,adf_p,stationary,rw_rmse,ar1_r2_in,ar1_rmse_oos,ar3_r2_in,ar3_aic,ar1_beats_rw_pct,structured
remorse,-31.8786,0.0,True,0.006756,0.0,0.00495,0.0001,-2613.83,26.73,True
relief,-3.9223,0.0019,True,0.008135,0.0338,0.006108,0.0674,-4903.05,24.92,True
joy,-7.4175,0.0,True,0.060551,0.0631,0.045508,0.0643,-1373.24,24.84,True
embarrassment,-18.1955,0.0,True,0.000782,0.0112,0.000609,0.0533,-7057.54,22.12,True
caring,-5.0601,0.0,True,0.153923,0.067,0.122571,0.0872,-681.56,20.37,True
excitement,-5.3633,0.0,True,0.016002,0.0032,0.012881,0.0039,-2727.44,19.5,True
optimism,-9.1097,0.0,True,0.06719,0.0063,0.057414,0.0465,-1008.4,14.55,True
annoyance,-6.9964,0.0,True,0.004086,0.0575,0.003807,0.1642,-4254.95,6.83,True
disgust,-9.1972,0.0,True,0.001139,0.0049,0.001066,0.0832,-6418.99,6.41,True
amusement,-6.5125,0.0,True,0.000793,0.1366,0.00075,0.203,-6460.8,5.42,True
disappointment,-6.5394,0.0,True,0.018078,0.0175,0.017171,0.0337,-1694.33,5.02,True
surprise,-7.3833,0.0,True,0.001949,0.0005,0.001883,0.1658,-5659.05,3.39,True
sadness,-4.9465,0.0,True,0.155982,0.0466,0.153872,0.0837,-980.5,1.35,True
grief,-4.6155,0.0001,True,0.00862,0.0488,0.008556,0.098,-4673.29,0.74,True
gratitude,-2.8796,0.0478,True,0.371627,0.2565,0.42169,0.3525,388.82,-13.47,False
pride,-4.3237,0.0004,True,0.001612,0.003,0.001879,0.0242,-5490.9,-16.56,False
anger,-18.872,0.0,True,0.001133,0.0005,0.001325,0.0302,-6217.27,-16.95,False
curiosity,-5.803,0.0,True,0.127008,0.0057,0.1616,0.3703,-203.69,-27.24,False
love,-31.9878,0.0,True,0.006171,0.0001,0.008043,0.0003,-2743.47,-30.34,False
admiration,-3.4923,0.0082,True,0.215366,0.0009,0.301662,0.0716,319.92,-40.07,False
realization,-5.5777,0.0,True,0.003459,0.005,0.005024,0.0332,-4116.86,-45.24,False
fear,-11.3528,0.0,True,0.013372,0.0005,0.019989,0.0667,-995.9,-49.48,False
approval,-4.8356,0.0,True,0.080727,0.0047,0.127295,0.0957,-449.76,-57.69,False
nervousness,-10.7197,0.0,True,0.001235,0.0004,0.001981,0.0373,-4193.25,-60.4,False
confusion,-6.7818,0.0,True,0.012674,0.0009,0.021545,0.1625,-2217.45,-69.99,False
disapproval,-7.1361,0.0,True,0.012169,0.0467,0.020692,0.1427,-1444.48,-70.04,False
desire,-7.769,0.0,True,0.012281,0.0001,0.023449,0.0133,-1439.42,-90.94,False
