emotion,b2s_r2,s2b_r2,b2s_lag1_coef,s2b_lag1_coef,b2s_lag1_p,s2b_lag1_p,gc_buyer2seller_p,gc_seller2buyer_p,gc_buyer2seller_sig,gc_seller2buyer_sig,leader
admiration,0.1427,0.0885,0.08942,-0.03312,0.2957,0.6523,0.4264,0.0013,False,True,buyer
amusement,0.1257,0.2361,0.40586,0.20768,0.0,0.0082,0.0243,0.1346,True,False,seller
anger,0.076,0.0029,-0.31139,-0.01679,0.0549,0.6465,0.5647,0.7562,False,False,buyer
annoyance,0.0246,0.0272,0.17652,0.14262,0.1878,0.0377,0.7947,0.1348,False,False,symmetric
approval,0.0111,0.0032,0.03418,0.03455,0.573,0.6943,0.792,0.4473,False,False,buyer
caring,0.0478,0.1226,-0.07524,0.24335,0.7178,0.013,0.4305,0.3295,False,False,seller
confusion,0.0034,0.0295,0.06877,0.07586,0.6915,0.0558,0.7275,0.2466,False,False,seller
curiosity,0.1006,0.0504,0.25022,0.21394,0.0045,0.0196,0.3476,0.865,False,False,buyer
desire,0.196,0.0963,0.28059,0.13108,0.0,0.0632,0.0809,0.0279,False,True,buyer
disappointment,0.0512,0.0009,0.1348,0.01381,0.0057,0.912,0.2194,0.0148,False,True,buyer
disapproval,0.0074,0.0655,0.13071,0.22624,0.4825,0.0012,0.0001,0.8964,True,False,seller
disgust,0.0207,0.0098,0.01124,0.08444,0.866,0.5403,0.5246,0.3409,False,False,buyer
embarrassment,0.0229,0.0054,-0.05472,0.04283,0.6555,0.4054,0.6519,0.2665,False,False,buyer
excitement,0.0321,0.0098,0.12358,0.08352,0.0544,0.4837,0.346,0.2696,False,False,buyer
fear,0.0008,0.0008,-0.0046,-0.04147,0.8442,0.9274,0.5407,0.038,False,True,symmetric
gratitude,0.4312,0.398,0.4759,0.78515,0.0,0.0,0.2579,0.1995,False,False,buyer
grief,0.007,0.0033,-0.34945,-0.26675,0.5477,0.47,0.8799,0.0,False,True,symmetric
joy,0.0056,0.034,0.11757,0.01098,0.8961,0.1481,0.6808,0.4894,False,False,seller
love,0.0132,0.0009,0.81534,-0.00208,0.1537,0.8542,0.8204,0.8797,False,False,buyer
nervousness,0.0024,0.0036,-0.00685,0.05281,0.8347,0.8633,0.3496,0.0082,False,True,symmetric
optimism,0.0386,0.048,0.15289,0.19393,0.0992,0.0055,0.3556,0.5483,False,False,seller
pride,0.0543,0.0075,0.15493,0.03823,0.0789,0.5846,0.0776,0.394,False,False,buyer
realization,0.1705,0.0153,0.18049,0.15693,0.0,0.2066,0.3973,0.0475,False,True,buyer
relief,0.0144,0.0975,0.24252,0.05058,0.1419,0.0347,0.0618,0.0624,False,False,seller
remorse,0.0047,0.0029,-0.66184,-0.00236,0.5522,0.6583,0.4922,0.442,False,False,symmetric
sadness,0.0057,0.0037,-0.63884,-0.3934,0.5921,0.6326,0.811,0.0,False,True,symmetric
surprise,0.0068,0.0649,0.04417,-0.11961,0.6501,0.0767,0.5602,0.9917,False,False,seller
