emotion,b2s_r2,s2b_r2,b2s_lag1_coef,s2b_lag1_coef,b2s_lag1_p,s2b_lag1_p,gc_buyer2seller_p,gc_seller2buyer_p,gc_buyer2seller_sig,gc_seller2buyer_sig,leader
admiration,0.0156,0.0035,0.09627,0.06081,0.0001,0.1386,0.0735,0.0202,False,True,buyer
amusement,0.0,0.0014,-0.00045,0.03918,0.9695,0.4687,0.8101,0.2553,False,False,symmetric
anger,0.0,0.0,0.00352,0.0055,0.919,0.8417,0.8925,0.9543,False,False,symmetric
annoyance,0.0176,0.0096,0.02041,0.07684,0.435,0.0298,0.071,0.5391,False,False,buyer
approval,0.0016,0.0052,0.03008,0.06046,0.3064,0.064,0.4997,0.7078,False,False,symmetric
caring,0.0023,0.0013,-0.03902,0.02163,0.4615,0.3055,0.4361,0.4217,False,False,symmetric
confusion,0.0029,0.0015,0.03249,0.00079,0.2222,0.9807,0.6122,0.2614,False,False,symmetric
curiosity,0.0047,0.0042,-0.06361,-0.05619,0.0464,0.0543,0.9507,0.4001,False,False,symmetric
desire,0.0013,0.0007,-0.01185,-0.00631,0.5984,0.8755,0.585,0.6792,False,False,symmetric
disappointment,0.0007,0.0039,-0.00896,0.05098,0.6925,0.2748,0.5582,0.95,False,False,symmetric
disapproval,0.0012,0.0022,-0.00876,0.00101,0.7998,0.9701,0.8722,0.2845,False,False,symmetric
disgust,0.0056,0.0004,-0.00417,-0.01498,0.8316,0.7516,0.0158,0.7603,True,False,buyer
embarrassment,0.0001,0.0002,0.00015,-0.02839,0.9816,0.8453,0.993,0.8658,False,False,symmetric
excitement,0.0005,0.0005,-0.02313,0.01289,0.5085,0.6145,0.8654,0.448,False,False,symmetric
fear,0.0001,0.0007,0.00249,0.0,0.7665,0.9999,0.9329,0.7247,False,False,symmetric
gratitude,0.0052,0.0059,0.07057,0.05294,0.0879,0.0871,0.4619,0.0013,False,True,symmetric
grief,0.0012,0.0002,-0.00762,-0.004,0.8126,0.9081,0.7493,0.1726,False,False,symmetric
joy,0.0006,0.0198,-0.00474,0.14961,0.8727,0.0,0.4664,0.0066,False,True,seller
love,0.004,0.0226,0.05693,0.16529,0.0445,0.0,0.8395,0.0,False,True,seller
nervousness,0.0,0.0002,-0.0061,-0.0007,0.9286,0.9066,0.8235,0.9694,False,False,symmetric
optimism,0.0012,0.008,0.02335,0.09875,0.3434,0.0137,0.6172,0.1912,False,False,seller
pride,0.0025,0.0267,0.03486,0.21315,0.1803,0.0,0.7441,0.6239,False,False,seller
realization,0.0029,0.0003,0.00778,0.00533,0.817,0.8455,0.2025,0.6052,False,False,symmetric
relief,0.003,0.0114,0.05149,0.09431,0.146,0.0008,0.4344,0.4979,False,False,seller
remorse,0.0011,0.0025,0.00729,-0.02127,0.85,0.3534,0.0061,0.4943,True,False,symmetric
sadness,0.0007,0.0003,-0.0086,-0.01421,0.7981,0.6229,0.4712,0.2224,False,False,symmetric
surprise,0.0003,0.0006,-0.00539,-0.01395,0.8573,0.6293,0.4533,0.7136,False,False,symmetric
