emotion,b2s_r2,s2b_r2,b2s_lag1_coef,s2b_lag1_coef,b2s_lag1_p,s2b_lag1_p,gc_buyer2seller_p,gc_seller2buyer_p,gc_buyer2seller_sig,gc_seller2buyer_sig,leader
admiration,0.0028,0.0143,0.01917,-0.15452,0.4445,0.0003,0.2758,0.2494,False,False,seller
amusement,0.0163,0.01,0.04419,0.04464,0.3109,0.0025,0.3121,0.2346,False,False,buyer
anger,0.0182,0.0002,-0.00281,-0.01492,0.677,0.9204,0.085,0.4817,False,False,buyer
annoyance,0.002,0.0009,-0.03766,0.00634,0.5593,0.6815,0.7147,0.8367,False,False,symmetric
approval,0.0266,0.0215,0.03883,-0.10134,0.3161,0.0003,0.0066,0.2872,True,False,buyer
caring,0.0013,0.0011,-0.04317,-0.00643,0.3355,0.9035,0.606,0.7981,False,False,symmetric
confusion,0.0447,0.0313,-0.33388,-0.0413,0.0089,0.0,0.5853,0.5319,False,False,buyer
curiosity,0.0918,0.1282,-0.23292,-0.25295,0.0,0.0,0.1935,0.0214,False,True,seller
desire,0.0005,0.0007,-0.01264,-0.00475,0.6924,0.8679,0.7162,0.8847,False,False,symmetric
disappointment,0.0028,0.0007,0.15457,0.00103,0.6346,0.7131,0.9073,0.0,False,True,symmetric
disapproval,0.0032,0.0018,-0.06483,-0.00659,0.459,0.5927,0.8358,0.0163,False,True,symmetric
disgust,0.0114,0.0039,0.0047,0.02264,0.9347,0.1662,0.0426,0.0301,True,True,buyer
embarrassment,0.0055,0.0003,0.01551,-0.00172,0.9231,0.7299,0.2208,0.521,False,False,buyer
excitement,0.0009,0.0021,-0.01192,0.00473,0.7727,0.8265,0.1285,0.0072,False,True,symmetric
fear,0.0135,0.0035,-0.49548,-0.00146,0.0186,0.0748,0.7359,0.7862,False,False,buyer
gratitude,0.039,0.0187,0.21039,0.17317,0.0,0.0001,0.0788,0.6026,False,False,buyer
grief,0.0064,0.0101,0.03232,-0.01457,0.6841,0.2512,0.3184,0.7884,False,False,symmetric
joy,0.0059,0.0014,0.0942,-0.00718,0.0281,0.5334,0.2043,0.8561,False,False,symmetric
love,0.0003,0.0007,-0.00596,-0.00141,0.821,0.4838,0.7005,0.9662,False,False,symmetric
nervousness,0.0057,0.0052,-0.59155,-0.0011,0.2337,0.3655,0.3851,0.4163,False,False,symmetric
optimism,0.0011,0.0066,-0.04846,0.05631,0.3707,0.0164,0.2825,0.2617,False,False,seller
pride,0.006,0.0049,-0.01726,-0.05088,0.6008,0.0472,0.3135,0.7882,False,False,symmetric
realization,0.0075,0.01,-0.01107,0.05494,0.7712,0.0027,0.0241,0.7751,True,False,symmetric
relief,0.0017,0.0008,-0.01251,-0.01727,0.6905,0.5177,0.4664,0.4462,False,False,symmetric
remorse,0.0003,0.004,0.27334,0.00089,0.8655,0.2461,0.3385,0.4001,False,False,symmetric
sadness,0.0004,0.0007,0.12861,0.0011,0.7252,0.6993,0.631,0.25,False,False,symmetric
surprise,0.002,0.0006,-0.01373,-0.02075,0.7557,0.6166,0.536,0.5279,False,False,symmetric
