emotion,adf_stat,adf_p,stationary,rw_rmse,ar1_r2_in,ar1_rmse_oos,ar3_r2_in,ar3_aic,ar1_beats_rw_pct,structured
caring,-79.0677,0.0,True,0.053538,0.0001,0.035607,0.0001,-17262.77,33.49,True
annoyance,-18.4672,0.0,True,0.031842,0.0009,0.022404,0.0084,-23267.97,29.64,True
fear,-35.9399,0.0,True,0.063202,0.0002,0.044584,0.0078,-15922.68,29.46,True
sadness,-15.5764,0.0,True,0.048139,0.0006,0.03399,0.0012,-15502.49,29.39,True
remorse,-23.88,0.0,True,0.111238,0.0004,0.078603,0.0023,-7748.0,29.34,True
disgust,-76.394,0.0,True,0.019189,0.0021,0.013565,0.0021,-26016.76,29.31,True
nervousness,-79.0693,0.0,True,0.023208,0.0,0.016405,0.0,-23065.7,29.31,True
amusement,-79.4388,0.0,True,0.052937,0.0,0.037421,0.0,-20200.04,29.31,True
grief,-14.0277,0.0,True,0.001097,0.0011,0.000777,0.0018,-49422.53,29.17,True
love,-52.5056,0.0,True,0.143728,0.0053,0.101982,0.0076,-8665.32,29.05,True
embarrassment,-54.2895,0.0,True,0.003793,0.0008,0.002693,0.0012,-35893.22,29.0,True
anger,-79.1353,0.0,True,0.005718,0.0,0.004068,0.0,-29598.56,28.86,True
disappointment,-21.8632,0.0,True,0.042568,0.002,0.030303,0.0051,-14323.73,28.81,True
realization,-36.6547,0.0,True,0.063961,0.0018,0.045633,0.0046,-16194.49,28.65,True
desire,-42.1544,0.0,True,0.118415,0.0032,0.08463,0.0079,-11357.2,28.53,True
curiosity,-25.8452,0.0,True,0.181272,0.0,0.129635,0.0036,-5343.64,28.49,True
joy,-42.8208,0.0,True,0.089876,0.0208,0.064334,0.0228,-13131.4,28.42,True
surprise,-17.2225,0.0,True,0.048535,0.0,0.034785,0.0001,-15185.7,28.33,True
disapproval,-12.7028,0.0,True,0.132391,0.0004,0.095681,0.0059,-5722.18,27.73,True
relief,-18.8782,0.0,True,0.003771,0.0047,0.002739,0.0047,-38035.3,27.37,True
excitement,-36.6153,0.0,True,0.070193,0.0163,0.051276,0.0168,-14726.31,26.95,True
optimism,-19.99,0.0,True,0.112236,0.0046,0.082167,0.0057,-9712.51,26.79,True
admiration,-17.3581,0.0,True,0.250105,0.0111,0.183208,0.0171,-2374.89,26.75,True
confusion,-30.519,0.0,True,0.16566,0.0031,0.121604,0.005,-6643.48,26.59,True
pride,-16.3568,0.0,True,0.001961,0.0104,0.001457,0.012,-46261.94,25.7,True
approval,-13.2593,0.0,True,0.248064,0.0088,0.184537,0.0129,-2182.69,25.61,True
gratitude,-42.7894,0.0,True,0.11233,0.0012,0.084956,0.0047,-8832.82,24.37,True
