emotion,b2s_r2,s2b_r2,b2s_lag1_coef,s2b_lag1_coef,b2s_lag1_p,s2b_lag1_p,gc_buyer2seller_p,gc_seller2buyer_p,gc_buyer2seller_sig,gc_seller2buyer_sig,leader
admiration,0.0064,0.0131,0.04502,0.08628,0.0389,0.0,0.1375,0.4595,False,False,seller
amusement,0.0,0.0,-0.00558,-0.00037,0.9107,0.9639,0.9695,0.8681,False,False,symmetric
anger,0.0001,0.0,0.00074,0.00069,0.9917,0.9073,0.4703,0.6813,False,False,symmetric
annoyance,0.0048,0.0014,0.00868,0.00683,0.6796,0.7525,0.4515,0.585,False,False,symmetric
approval,0.0131,0.0105,0.05708,0.06017,0.0143,0.001,0.1565,0.8085,False,False,symmetric
caring,0.0004,0.0001,0.01293,-0.00964,0.3658,0.7359,0.0714,0.0844,False,False,symmetric
confusion,0.0013,0.0029,0.00462,0.04085,0.8248,0.0347,0.2566,0.0007,False,True,symmetric
curiosity,0.0016,0.0008,-0.00635,0.00136,0.7171,0.949,0.4041,0.0126,False,True,symmetric
desire,0.0006,0.0002,0.01912,-0.01397,0.286,0.549,0.3291,0.6782,False,False,symmetric
disappointment,0.0032,0.0034,0.06165,0.02143,0.0064,0.2178,0.1463,0.5767,False,False,symmetric
disapproval,0.0019,0.0005,0.04449,0.00553,0.0435,0.7654,0.5158,0.0925,False,False,symmetric
disgust,0.0021,0.0,-0.05975,0.00092,0.5291,0.8504,0.815,0.624,False,False,symmetric
embarrassment,0.0004,0.0,-0.00889,0.00024,0.8246,0.9814,0.8562,0.8868,False,False,symmetric
excitement,0.0006,0.0119,0.01765,0.12257,0.2666,0.0,0.2217,0.8069,False,False,seller
fear,0.0,0.001,-0.00249,0.02397,0.9256,0.1336,0.7416,0.9552,False,False,symmetric
gratitude,0.0039,0.0037,-0.00949,-0.00311,0.5338,0.9031,0.2444,0.3599,False,False,symmetric
grief,0.0014,0.0014,0.00243,0.01704,0.9331,0.2231,0.7036,0.4542,False,False,symmetric
joy,0.0011,0.0066,0.035,0.05458,0.1684,0.0008,0.3671,0.701,False,False,seller
love,0.0004,0.0004,0.00571,0.01518,0.7217,0.5418,0.8442,0.251,False,False,symmetric
nervousness,0.0,0.0001,-0.00086,0.02072,0.926,0.6589,0.8289,0.9506,False,False,symmetric
optimism,0.0005,0.0042,0.01156,0.04528,0.5785,0.0301,0.3311,0.7493,False,False,symmetric
pride,0.0091,0.0071,0.06089,0.04797,0.0075,0.005,0.0099,0.4149,True,False,symmetric
realization,0.0017,0.0004,0.01048,0.0178,0.5057,0.4482,0.8622,0.2294,False,False,symmetric
relief,0.0003,0.0007,0.01366,0.02293,0.5026,0.2458,0.148,0.2581,False,False,symmetric
remorse,0.0007,0.0003,-0.0233,0.01415,0.3302,0.4131,0.2981,0.2248,False,False,symmetric
sadness,0.0007,0.0003,0.01282,0.00987,0.6746,0.4587,0.5922,0.3825,False,False,symmetric
surprise,0.0059,0.0001,0.05446,-0.00281,0.0002,0.9057,0.6474,0.6588,False,False,buyer
