dimension,emotion,split_half_r,retained
1,admiration,0.0421,False
2,amusement,0.0559,True
3,anger,0.0671,True
4,annoyance,0.0675,True
5,approval,0.075,True
6,caring,0.0705,True
7,confusion,0.0674,True
8,curiosity,0.0786,True
9,desire,0.0777,True
10,disappointment,0.0721,True
11,disapproval,0.0706,True
12,disgust,0.0703,True
13,embarrassment,0.0728,True
14,excitement,0.0693,True
15,fear,0.0713,True
16,gratitude,0.0732,True
17,grief,0.0685,True
18,joy,0.0711,True
19,love,0.072,True
20,nervousness,0.0624,True
21,optimism,0.0652,True
22,pride,0.0631,True
23,realization,0.0738,True
24,relief,0.0463,False
25,remorse,0.0421,False
26,sadness,0.0628,True
27,surprise,0.0439,False
