conversation_id,turn,outcome,z_1,z_2,z_3,z_4
22,0,no sale,-0.109226,0.873592,0.714667,-0.3379
22,1,no sale,-0.070542,0.769944,0.699692,-0.360487
22,2,no sale,-0.091833,1.016975,0.921105,-0.480126
22,3,no sale,-0.09595,1.083592,0.970081,-0.497004
22,4,no sale,-0.100898,1.08117,0.91472,-0.431401
22,5,no sale,-0.120756,1.010685,0.673788,-0.186949
22,6,no sale,-0.200571,0.773219,-0.106112,0.588252
22,7,no sale,-0.300672,0.571939,-0.845815,1.326337
22,8,no sale,-0.337273,0.512852,-0.971201,1.406872
22,9,no sale,-0.209472,0.353035,-0.552553,0.832223
22,10,no sale,-0.103386,0.342717,-0.071083,0.20162
22,11,no sale,-0.144984,0.781939,0.372553,-0.140392
22,12,no sale,-0.222918,1.275059,0.776183,-0.384542
39,0,sale,-0.419696,0.575326,-1.828943,2.575219
39,1,sale,-0.639717,0.893882,-2.335993,3.311798
39,2,sale,-0.591853,0.992204,-1.791702,2.670785
39,3,sale,-0.649544,1.536808,-1.074109,2.031126
39,4,sale,-0.915893,2.653065,-0.626947,1.987217
39,5,sale,-1.088445,3.614994,-0.238699,1.909219
39,6,sale,-0.931608,3.581589,0.184682,1.073992
39,7,sale,-0.770883,3.012013,-0.12095,-0.632038
39,8,sale,-0.878482,2.910397,-0.901471,-1.916201
39,9,sale,-1.203528,3.513659,-1.222569,-1.420552
39,10,sale,-1.276397,3.693171,-0.751636,0.106831
39,11,sale,-0.974595,2.827322,-0.440721,1.204104
39,12,sale,-0.650933,1.733916,-0.723943,1.539112
39,13,sale,-0.509492,1.363587,-0.689455,1.565401
39,14,sale,-0.631946,1.703377,-0.525552,1.564123
51,0,sale,-0.242294,1.430363,0.814488,-0.141374
51,1,sale,-0.656207,2.068766,0.338539,-0.87975
51,2,sale,-1.012116,1.84794,-0.575444,-1.42497
51,3,sale,-2.131963,1.19561,-1.806197,-1.920305
51,4,sale,-2.965372,0.531025,-2.491601,-2.174617
51,5,sale,-2.781902,-0.040017,-2.175451,-1.752996
51,6,sale,-1.688231,-0.181617,-1.111004,-0.879057
51,7,sale,-0.445482,-0.093666,-0.191698,-0.196926
51,8,sale,-0.119248,-0.023294,-0.013211,-0.055573
51,9,sale,-0.032929,0.039113,0.05237,-0.042219
51,10,sale,-0.016636,0.172652,0.173925,-0.094915
51,11,sale,-0.053718,0.593001,0.535889,-0.277143
51,12,sale,-0.119181,1.059908,0.921759,-0.473681
66,0,sale,-0.131905,0.486183,-0.074008,0.381846
66,1,sale,-0.2783,1.02513,-0.29433,0.898335
66,2,sale,-0.562056,1.888195,-0.658968,1.761389
66,3,sale,-0.736743,2.575388,-0.649283,2.109614
66,4,sale,-0.66754,2.759874,0.09128,1.39419
66,5,sale,-0.40736,2.323797,0.969707,0.202576
66,6,sale,-0.195996,1.59336,1.111665,-0.372819
66,7,sale,-0.074722,0.760683,0.613247,-0.265982
66,8,sale,-0.016943,0.274795,0.235801,-0.107122
67,0,no sale,-0.065133,0.264497,0.054182,0.089352
67,1,no sale,-0.015449,0.096758,0.036722,0.01765
67,2,no sale,-0.004854,0.0996,0.069087,-0.016275
67,3,no sale,-0.015631,0.270752,0.198867,-0.063957
67,4,no sale,-0.094856,0.895505,0.60061,-0.189594
67,5,no sale,-0.243939,1.876701,1.139816,-0.332581
67,6,no sale,-0.349008,2.398657,1.405426,-0.38484
67,7,no sale,-0.305353,2.014228,1.152177,-0.288872
67,8,no sale,-0.168176,1.239171,0.655752,-0.112722
67,9,no sale,-0.110708,1.037607,0.58512,-0.119332
67,10,no sale,-0.136205,1.225088,0.75067,-0.202916
67,11,no sale,-0.148716,1.179503,0.648397,-0.089902
67,12,no sale,-0.228409,1.049716,0.01734,0.53677
67,13,no sale,-0.391114,1.276218,-0.453119,1.143848
67,14,no sale,-0.545859,1.74575,-0.377448,1.250599
70,0,no sale,-0.363563,2.026504,0.818689,0.235164
70,1,no sale,-0.621412,2.836895,0.754059,0.39872
70,2,no sale,-0.571151,2.23967,0.237076,0.62098
70,3,no sale,-0.31747,1.143178,-0.031982,0.481715
70,4,no sale,-0.077153,0.322305,0.006218,0.14605
70,5,no sale,-0.018815,0.092871,0.004976,0.04405
70,6,no sale,-0.005609,0.032289,0.002552,0.015442
90,0,sale,-0.067958,0.257877,0.023262,0.122885
90,1,sale,-0.022012,0.085319,-0.043549,0.108871
90,2,sale,-0.031954,0.07156,-0.177856,0.267039
90,3,sale,-0.130826,0.202511,-0.578714,0.825255
90,4,sale,-0.252577,0.38209,-1.00973,1.416336
90,5,sale,-0.328391,0.577653,-1.131151,1.588703
90,6,sale,-0.436533,1.063939,-0.978518,1.614272
90,7,sale,-0.592426,1.671409,-0.943139,1.934684
90,8,sale,-0.723161,2.171344,-0.923818,2.249293
90,9,sale,-0.773176,2.186265,-0.810406,2.060466
90,10,sale,-0.811122,1.831838,-1.218027,1.77235
90,11,sale,-0.921215,1.311567,-2.871083,1.072719
90,12,sale,-0.978602,0.754214,-4.629592,0.593776
90,13,sale,-0.928244,0.266805,-5.767771,-0.402983
90,14,sale,-0.839515,0.030357,-5.652042,-0.580137
90,15,sale,-0.731448,0.007686,-4.340136,0.044785
90,16,sale,-0.753149,-0.090447,-2.668027,0.217622
90,17,sale,-1.442203,-0.360559,-1.023413,0.043831
90,18,sale,-2.694722,-0.591353,-1.040397,-1.731978
90,19,sale,-3.946522,-0.562209,-2.356472,-4.154856
90,20,sale,-4.386762,-0.284713,-3.319821,-4.608988
90,21,sale,-3.646029,-0.040627,-3.054606,-2.912809
90,22,sale,-2.421586,0.084301,-2.140524,-1.006439
90,23,sale,-2.43135,0.290866,-2.039207,-0.89782
90,24,sale,-3.660275,0.558898,-2.372609,-2.542736
90,25,sale,-4.796424,0.829342,-2.878728,-4.589497
90,26,sale,-4.990015,0.750955,-2.808318,-4.988501
90,27,sale,-4.869945,0.304838,-2.606488,-4.568683
90,28,sale,-4.576187,0.32714,-2.185608,-4.43256
90,29,sale,-3.496733,0.991582,-1.567502,-4.894706
90,30,sale,-2.048868,1.607026,-1.27042,-5.151476
90,31,sale,-0.931867,1.818257,-1.567675,-4.74889
90,32,sale,-0.656219,1.794118,-1.575938,-4.324813
90,33,sale,-0.645087,1.699732,-0.678402,-3.269424
90,34,sale,-0.656185,1.208015,0.00924,-2.128188
90,35,sale,-0.584479,0.619377,0.478579,-0.854959
