act,n_turns,z_dim,mean_z_t,mean_z_t1,mean_shift,abs_shift,dominant_dim
new_offer,805,z_1,-0.84091,-0.88289,-0.04198,0.04198,z_4
new_offer,805,z_2,1.15149,1.16666,0.01517,0.01517,z_4
new_offer,805,z_3,-0.13175,-0.10008,0.03167,0.03167,z_4
new_offer,805,z_4,-0.00515,-0.05348,-0.04833,0.04833,z_4
repeat_offer,609,z_1,-0.90967,-0.89739,0.01228,0.01228,z_3
repeat_offer,609,z_2,1.14038,1.13984,-0.00054,0.00054,z_3
repeat_offer,609,z_3,-0.15002,-0.11571,0.03431,0.03431,z_3
repeat_offer,609,z_4,-0.2105,-0.21123,-0.00073,0.00073,z_3
push,608,z_1,-0.96796,-0.9617,0.00626,0.00626,z_3
push,608,z_2,1.12104,1.11821,-0.00282,0.00282,z_3
push,608,z_3,-0.19975,-0.15918,0.04058,0.04058,z_3
push,608,z_4,-0.10988,-0.14595,-0.03607,0.03607,z_3
push_constraint,74,z_1,-0.92624,-0.85548,0.07076,0.07076,z_3
push_constraint,74,z_2,1.24977,1.28735,0.03758,0.03758,z_3
push_constraint,74,z_3,-0.02855,0.05805,0.08661,0.08661,z_3
push_constraint,74,z_4,-0.33242,-0.29321,0.03921,0.03921,z_3
push_disparagement,17,z_1,-1.22298,-1.41111,-0.18813,0.18813,z_1
push_disparagement,17,z_2,1.26874,1.20571,-0.06302,0.06302,z_1
push_disparagement,17,z_3,-0.55675,-0.58421,-0.02745,0.02745,z_1
push_disparagement,17,z_4,0.07374,0.20126,0.12751,0.12751,z_1
push_neutral,517,z_1,-0.96555,-0.96213,0.00342,0.00342,z_4
push_neutral,517,z_2,1.09776,1.09113,-0.00663,0.00663,z_4
push_neutral,517,z_3,-0.21252,-0.1763,0.03622,0.03622,z_4
push_neutral,517,z_4,-0.08406,-0.13629,-0.05222,0.05222,z_4
comparison,1019,z_1,-0.82714,-0.84824,-0.0211,0.0211,z_4
comparison,1019,z_2,1.15062,1.15779,0.00717,0.00717,z_4
comparison,1019,z_3,-0.30226,-0.31263,-0.01037,0.01037,z_4
comparison,1019,z_4,-0.00102,-0.046,-0.04498,0.04498,z_4
comparison_price,541,z_1,-0.75722,-0.77308,-0.01587,0.01587,z_2
comparison_price,541,z_2,1.08562,1.11816,0.03254,0.03254,z_2
comparison_price,541,z_3,-0.27597,-0.27969,-0.00372,0.00372,z_2
comparison_price,541,z_4,0.11699,0.10768,-0.00931,0.00931,z_2
comparison_quality,295,z_1,-0.78702,-0.82454,-0.03753,0.03753,z_4
comparison_quality,295,z_2,1.18248,1.19019,0.00771,0.00771,z_4
comparison_quality,295,z_3,-0.1858,-0.20096,-0.01516,0.01516,z_4
comparison_quality,295,z_4,-0.11221,-0.17161,-0.0594,0.0594,z_4
comparison_mixed,183,z_1,-1.09853,-1.10862,-0.01009,0.01009,z_4
comparison_mixed,183,z_2,1.29142,1.22274,-0.06869,0.06869,z_4
comparison_mixed,183,z_3,-0.56769,-0.58999,-0.02229,0.02229,z_4
comparison_mixed,183,z_4,-0.17063,-0.29782,-0.12719,0.12719,z_4
allowance,153,z_1,-1.11693,-1.09283,0.0241,0.0241,z_3
allowance,153,z_2,1.24207,1.25841,0.01633,0.01633,z_3
allowance,153,z_3,-0.37,-0.43329,-0.06329,0.06329,z_3
allowance,153,z_4,0.14436,0.1969,0.05253,0.05253,z_3
end,397,z_1,-0.80132,-0.85502,-0.05369,0.05369,z_1
end,397,z_2,1.4853,1.49508,0.00978,0.00978,z_1
end,397,z_3,-0.11991,-0.13387,-0.01395,0.01395,z_1
end,397,z_4,-0.03034,-0.08249,-0.05215,0.05215,z_1
