dimension,emotion,split_half_r,retained
1,admiration,0.0407,False
2,amusement,0.0576,True
3,anger,0.0666,True
4,annoyance,0.0672,True
5,approval,0.0751,True
6,caring,0.0703,True
7,confusion,0.0674,True
8,curiosity,0.0788,True
9,desire,0.0776,True
10,disappointment,0.0719,True
11,disapproval,0.0707,True
12,disgust,0.0702,True
13,embarrassment,0.0727,True
14,excitement,0.0691,True
15,fear,0.0692,True
16,gratitude,0.0747,True
17,grief,0.0685,True
18,joy,0.0712,True
19,love,0.072,True
20,nervousness,0.0624,True
21,optimism,0.0657,True
22,pride,0.0626,True
23,realization,0.0737,True
24,relief,0.0462,False
25,remorse,0.0421,False
26,sadness,0.0627,True
27,surprise,0.0438,False
