conversation_id,turn,outcome,z_1,z_2,z_3,z_4
22,0,no sale,0.01986,-0.145257,-0.821505,-0.392568
22,1,no sale,-0.112792,-0.282643,-0.593635,-0.326633
22,2,no sale,-0.209479,-0.431775,-0.701579,-0.36934
22,3,no sale,-0.143276,-0.327524,-0.88755,-0.443658
22,4,no sale,-0.131683,-0.118426,-1.043384,-0.473965
22,5,no sale,-0.502933,0.202854,-0.916426,-0.271844
22,6,no sale,-1.1274,0.650555,-0.418505,0.176528
22,7,no sale,-1.532751,0.911141,-0.039744,0.470381
22,8,no sale,-1.361215,0.765778,-0.033082,0.402784
22,9,no sale,-0.894103,0.465347,-0.141197,0.189757
22,10,no sale,-0.232373,-0.04754,-0.376139,-0.102116
22,11,no sale,-0.043292,-0.327629,-0.823618,-0.306634
22,12,no sale,0.017469,-0.462021,-1.23491,-0.490233
39,0,sale,0.063892,-0.054443,-0.501073,-0.051728
39,1,sale,0.344667,-0.077195,-0.518767,0.433674
39,2,sale,0.894053,-0.064142,-0.706173,1.368373
39,3,sale,1.480273,-0.246008,-1.15827,2.570289
39,4,sale,1.374707,-0.423787,-1.860852,2.679462
39,5,sale,0.729093,-0.497836,-2.445221,1.510009
39,6,sale,0.097694,-0.478407,-2.290124,0.286153
39,7,sale,-0.559952,-0.533186,-1.486306,0.080579
39,8,sale,-1.065287,-0.836961,-0.773535,0.636279
39,9,sale,-1.167268,-1.195162,-0.558809,1.600162
39,10,sale,-0.787881,-1.190039,-0.678553,1.982229
39,11,sale,-0.250535,-0.808521,-0.628698,1.625726
39,12,sale,0.110494,-0.41164,-0.468361,1.056905
39,13,sale,0.556699,-0.178664,-0.844577,0.770526
39,14,sale,0.963491,-0.169431,-1.456015,1.16676
51,0,sale,-0.03606,-0.362431,-1.448685,-0.58816
51,1,sale,-0.94706,-0.9292,-1.205087,-0.338566
51,2,sale,-1.604053,-0.910609,-0.735151,-0.11283
51,3,sale,-2.053405,-1.04162,-0.151615,0.086565
51,4,sale,-1.950089,-1.223231,0.26049,0.091399
51,5,sale,-1.380666,-1.136629,0.48644,-0.005574
51,6,sale,-0.767592,-0.751579,0.33916,-0.068741
51,7,sale,-0.367237,-0.502845,0.120233,-0.123296
51,8,sale,-0.304714,-0.50609,0.067451,-0.115286
51,9,sale,-0.222075,-0.425395,0.030667,-0.110414
51,10,sale,-0.088702,-0.253567,-0.133143,-0.146126
51,11,sale,-0.002021,-0.170557,-0.62216,-0.325601
51,12,sale,0.008792,-0.211382,-1.097569,-0.506645
66,0,sale,-0.03436,-0.037531,-0.482802,-0.135
66,1,sale,-0.370471,0.151497,-0.757403,-0.01736
66,2,sale,-0.178479,0.042144,-1.400098,0.236875
66,3,sale,0.307785,-0.139385,-2.072852,0.533364
66,4,sale,0.566428,-0.005282,-2.518487,0.968092
66,5,sale,0.328167,0.388391,-2.367101,1.286491
66,6,sale,-0.397042,0.835453,-1.76122,1.269521
66,7,sale,-1.037627,1.081236,-1.213937,0.847752
66,8,sale,-1.304863,1.014638,-1.079946,0.273581
67,0,no sale,-0.004131,-0.031352,-0.261513,-0.100996
67,1,no sale,0.041245,-0.007504,-0.093699,0.002166
67,2,no sale,0.16561,-0.015425,-0.074839,0.18981
67,3,no sale,0.624483,-0.124432,-0.261644,0.973724
67,4,no sale,1.339836,-0.256175,-0.979396,2.123631
67,5,no sale,1.913291,-0.329909,-1.962365,3.173281
67,6,no sale,1.54246,0.032988,-2.689051,3.212559
67,7,no sale,0.564749,0.582803,-2.551678,2.358785
67,8,no sale,-0.061955,0.929998,-1.759621,2.0263
67,9,no sale,0.164563,0.877744,-1.30797,2.340094
67,10,no sale,0.650163,0.556139,-1.250877,2.404879
67,11,no sale,0.720232,0.224172,-1.175942,1.698263
67,12,no sale,0.44787,-0.23675,-0.795107,0.637171
67,13,no sale,0.080217,-0.557361,-0.736324,-0.186191
67,14,no sale,-0.001937,-0.758111,-1.047474,-0.49817
70,0,no sale,0.111302,-0.351124,-1.944329,-0.870077
