act,n_turns,z_dim,mean_z_t,mean_z_t1,mean_shift,abs_shift,dominant_dim
new_offer,805,z_1,-0.42628,-0.47483,-0.04856,0.04856,z_1
new_offer,805,z_2,-0.38246,-0.39068,-0.00822,0.00822,z_1
new_offer,805,z_3,-0.88003,-0.87583,0.00421,0.00421,z_1
new_offer,805,z_4,0.11466,0.0999,-0.01476,0.01476,z_1
repeat_offer,609,z_1,-0.52194,-0.52452,-0.00258,0.00258,z_2
repeat_offer,609,z_2,-0.446,-0.42436,0.02164,0.02164,z_2
repeat_offer,609,z_3,-0.80589,-0.8205,-0.01461,0.01461,z_2
repeat_offer,609,z_4,0.07777,0.0716,-0.00617,0.00617,z_2
push,608,z_1,-0.51963,-0.52984,-0.01021,0.01021,z_4
push,608,z_2,-0.40101,-0.40302,-0.00201,0.00201,z_4
push,608,z_3,-0.84232,-0.8291,0.01322,0.01322,z_4
push,608,z_4,0.19114,0.16683,-0.02431,0.02431,z_4
push_constraint,74,z_1,-0.52006,-0.49333,0.02673,0.02673,z_4
push_constraint,74,z_2,-0.32611,-0.33445,-0.00834,0.00834,z_4
push_constraint,74,z_3,-0.89323,-0.90533,-0.0121,0.0121,z_4
push_constraint,74,z_4,0.46244,0.40098,-0.06146,0.06146,z_4
push_disparagement,17,z_1,-0.69686,-0.82249,-0.12564,0.12564,z_1
push_disparagement,17,z_2,-0.42478,-0.37602,0.04875,0.04875,z_1
push_disparagement,17,z_3,-1.02093,-0.89696,0.12397,0.12397,z_1
push_disparagement,17,z_4,0.18323,0.2175,0.03427,0.03427,z_1
push_neutral,517,z_1,-0.51374,-0.52544,-0.0117,0.0117,z_4
push_neutral,517,z_2,-0.41094,-0.41372,-0.00278,0.00278,z_4
push_neutral,517,z_3,-0.82916,-0.81596,0.0132,0.0132,z_4
push_neutral,517,z_4,0.15257,0.13165,-0.02092,0.02092,z_4
comparison,1019,z_1,-0.44274,-0.48928,-0.04653,0.04653,z_1
comparison,1019,z_2,-0.49433,-0.50501,-0.01068,0.01068,z_1
comparison,1019,z_3,-0.77624,-0.75012,0.02612,0.02612,z_1
comparison,1019,z_4,0.13985,0.1324,-0.00745,0.00745,z_1
comparison_price,541,z_1,-0.37113,-0.42293,-0.0518,0.0518,z_1
comparison_price,541,z_2,-0.46927,-0.47171,-0.00244,0.00244,z_1
comparison_price,541,z_3,-0.73678,-0.71676,0.02002,0.02002,z_1
comparison_price,541,z_4,0.11537,0.11995,0.00458,0.00458,z_1
comparison_quality,295,z_1,-0.49303,-0.51595,-0.02292,0.02292,z_2
comparison_quality,295,z_2,-0.46234,-0.4955,-0.03316,0.03316,z_2
comparison_quality,295,z_3,-0.83076,-0.82892,0.00184,0.00184,z_2
comparison_quality,295,z_4,0.08813,0.08358,-0.00455,0.00455,z_2
comparison_mixed,183,z_1,-0.57338,-0.64242,-0.06904,0.06904,z_3
comparison_mixed,183,z_2,-0.62,-0.61879,0.00121,0.00121,z_3
comparison_mixed,183,z_3,-0.805,-0.72175,0.08326,0.08326,z_3
comparison_mixed,183,z_4,0.29558,0.24791,-0.04767,0.04767,z_3
allowance,153,z_1,-0.57711,-0.57795,-0.00084,0.00084,z_2
allowance,153,z_2,-0.49187,-0.46932,0.02254,0.02254,z_2
allowance,153,z_3,-0.89435,-0.90045,-0.0061,0.0061,z_2
allowance,153,z_4,0.15155,0.13843,-0.01311,0.01311,z_2
end,397,z_1,-0.28993,-0.35668,-0.06675,0.06675,z_1
end,397,z_2,-0.55092,-0.55934,-0.00842,0.00842,z_1
end,397,z_3,-1.13961,-1.09613,0.04348,0.04348,z_1
end,397,z_4,0.13278,0.12816,-0.00462,0.00462,z_1
